tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
158483,Cedecea,"",2,-100,158483,543,Bacteria,0,2728.0,69.943,80.3931872,98.2361,143.42,82.5109177,0.0,427539.3556825402,12.04415,0.1165818,80.3931872,180.0,4.615,6.2195083,97.5661,47.0333,16.3950005,0.0,0.7947,0.0962497,80.3931872
158822,Cedecea neteri,"",1,158822,158483,543,Bacteria,0,2653.0,68.02,78.1791814,98.2094,143.337,82.4005814,0.0,427539.3556825402,11.71302,0.1165818,78.1791814,73.0,1.871,2.4621896,97.2041,46.726,16.1684933,0.0,0.3223,0.0843099,78.1791814
-100158483,Non-species-specific reads in genus Cedecea,,1,-100158483,158483,543,Bacteria,0,75.0,1.922,100.0,99.1787,146.387,86.4139252,0.0,16019.8905897691,0.33113,0.0,100.0,36.0,0.923,99.0,98.7389,47.7778,16.9722214,0.0,0.15894,0.0003357,100.0
1566286,Cedecea sp. NFIX57,"",1,1566286,158483,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,400.73693949851247,,,78.5759197,32.0,0.82,78.5759197,96.5406,48.4375,17.6468754,0.0,0.14128,0.0014317,78.5759197
158484,Cedecea davisae,"",1,158484,158483,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,133.12221631755557,,,21.425403,39.0,0.999,21.425403,98.0026,45.7692,15.2589741,0.0,0.17219,0.0101724,21.425403
9605,Homo,"",2,-100,9605,9604,Eukaryota,0,352.0,9.024,100.0,99.5233,147.057,87.5675964,0.0,91519.99999999999,1.55408,0.0,100.0,5.0,0.128,100.0,84.42,45.8,12.3800001,0.0,0.02208,0.0,100.0
9606,Homo sapiens,human,1,9606,9605,9604,Eukaryota,0,352.0,9.024,100.0,99.5233,147.057,87.5675964,0.0,91519.99999999999,1.55408,0.0,100.0,5.0,0.128,100.0,84.42,45.8,12.3800001,0.0,0.02208,0.0,100.0
9903,Bos,"""oxen",2,-100,9903,9895,Eukaryota,0,456.0,11.691,100.0,99.6965,143.105,85.2262878,0.0,64860.00000000001,2.01325,0.0,100.0,8.0,0.205,100.0,99.7375,43.25,16.5375004,0.0,0.03532,0.0,100.0
9913,Bos taurus,cattle,1,9913,9903,9895,Eukaryota,0,246.0,6.307,100.0,99.7654,144.768,86.4845276,0.0,64860.00000000001,1.08609,0.0,100.0,7.0,0.179,100.0,99.7,42.2857,15.8142853,0.0,0.03091,0.0,100.0
-100009903,Non-species-specific reads in genus Bos,,1,-100009903,9903,9895,Eukaryota,0,188.0,4.82,100.0,99.8394,141.931,84.6924896,0.0,48200.0,0.83002,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
72004,Bos mutus,wild yak,1,72004,9903,9895,Eukaryota,0,22.0,0.564,100.0,97.7045,134.545,75.7182922,0.0,5889.999999999999,0.09713,0.0,100.0,1.0,0.025,100.0,100.0,50.0,21.6000004,0.0,0.00442,0.0,100.0
544,Citrobacter,"",2,-100,544,543,Bacteria,0,22.0,0.564,-0.2588692,96.0727,135.045,72.5686111,0.0,23860.38001206,0.09713,2.987716,8.8381598,1272.0,32.612,8.8381598,89.5104,44.1077,15.0671387,0.0,5.61589,1.4897552,8.8381598
1981983,Citrobacter sp. L55,"",1,1981983,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,23860.38001206,,,100.0,1053.0,26.997,100.0,88.0022,44.7227,15.1781578,0.0,4.64901,0.0,100.0
546,Citrobacter freundii,"",1,546,544,543,Bacteria,0,13.0,0.333,-0.160923,94.5077,143.0,74.9691849,0.0,384.1361569220362,0.0574,1.0978048,8.035669,211.0,5.409,8.035669,96.7403,40.9384,14.4232225,0.0,0.93157,0.2450435,8.035669
67829,Citrobacter murliniae,"",1,67829,544,543,Bacteria,0,3.0,0.076,100.0,100.0,106.0,60.4690895,0.0,1.9674059200000003,0.01325,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
2077147,Citrobacter freundii complex sp. CFNIH3,"",1,2077147,544,543,Bacteria,0,2.0,0.051,100.0,100.0,100.0,56.3767509,0.0,1.32023292,0.00883,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
67827,Citrobacter werkmanii,"",1,67827,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.173756674990035,,,0.786393,1.0,0.025,0.786393,100.0,50.0,20.8999996,0.0,0.00442,0.0056578,0.786393
545,Citrobacter koseri,"",1,545,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.0035927623362108597,,,0.0026569,6.0,0.153,0.0026569,96.45,45.8333,16.5666676,0.0,0.02649,0.150872,0.0026569
-100000544,Non-species-specific reads in genus Citrobacter,,1,-100000544,544,543,Bacteria,0,3.0,0.076,-0.1365842,99.1,149.333,88.2245102,0.0,-0.00268716563658464,0.01325,0.2051017,-0.1365842,0,0,-100,0.0,0.0,0.0,0.0,,,-0.1365842
67825,Citrobacter rodentium,"",1,67825,544,543,Bacteria,0,1.0,0.025,-0.0945887,87.7,146.0,63.0757217,0.0,-0.013782468925818001,0.00442,0.0835475,-0.0596066,1.0,0.025,-0.0596066,100.0,49.0,19.2000008,0.0,0.00442,0.0431228,-0.0596066
