tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
158483,Cedecea,"",2,-100,158483,543,Bacteria,0,10106.0,289.837,99.0,98.0104,143.447,82.0777893,0.0,2775358.438868012,5.30543,0.1165818,99.0,604.0,17.322,23.709143,97.7982,46.3675,16.2493382,0.0,0.31709,0.0962497,99.0
158822,Cedecea neteri,"",1,158822,158483,543,Bacteria,0,9868.0,283.011,99.0,97.9819,143.392,81.9832535,0.0,2775358.438868012,5.18049,0.1165818,99.0,243.0,6.969,9.4876063,98.6387,46.7284,16.7460899,0.0,0.12757,0.0843099,99.0
-100158483,Non-species-specific reads in genus Cedecea,,1,-100158483,158483,543,Bacteria,0,237.0,6.797,100.0,99.1949,145.895,86.1310654,0.0,79204.713376932,0.12442,0.0,100.0,177.0,5.076,99.0,98.7915,47.0113,16.8073444,0.0,0.09292,0.0003357,100.0
158484,Cedecea davisae,"",1,158484,158483,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,6267.5686138907095,,,75.5724385,122.0,3.498,75.5724385,95.109,44.877,14.3926229,0.0,0.06405,0.0101724,75.5724385
1566286,Cedecea sp. NFIX57,"",1,1566286,158483,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,4173.3307691459995,,,99.0,62.0,1.778,99.0,96.9597,46.0484,16.3629036,0.0,0.03255,0.0014317,99.0
158823,Cedecea lapagei,"",1,158823,158483,543,Bacteria,0,1.0,0.028,100.0,99.0,99.0,54.3279037,0.0,277.2,0.00052,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
3561,Spinacia,"",2,-100,3561,1804623,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1214105.1743301665,,,62.2616163,10914.0,313.011,62.2616163,91.2096,46.1139,14.5344515,0.0,5.72962,1.6010864,62.2616163
3562,Spinacia oleracea,spinach,1,3562,3561,1804623,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1214105.1743301665,,,62.3040901,10913.0,312.982,62.3040901,91.2094,46.1152,14.5350313,0.0,5.72909,1.598151,62.3040901
-100003561,Non-species-specific reads in genus Spinacia,,1,-100003561,3561,1804623,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,2.5743914180192644,,,1.4767132,1.0,0.028,1.4767132,93.8,32.0,8.1999998,0.0,0.00052,0.0029354,1.4767132
1177,Nostoc,"",2,-100,1177,1162,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,453112.17009651446,,,66.9968617,2535.0,72.703,66.9968617,91.1036,47.0387,15.5180273,0.0,1.33082,0.4414994,66.9968617
92942,Nostoc linckia,"",1,92942,1177,1162,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,453112.17009651446,,,99.0,2382.0,68.315,99.0,90.7362,47.662,15.7764902,0.0,1.2505,0.0009152,99.0
-100001177,Non-species-specific reads in genus Nostoc,,1,-100001177,1177,1162,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,5166.347827294408,,,17.5736739,153.0,4.388,17.5736739,96.8235,37.3333,11.4941177,0.0,0.08032,0.0744131,17.5736739
9903,Bos,"""oxen",2,-100,9903,9895,Eukaryota,0,1003.0,28.765,100.0,99.7336,143.612,85.667984,0.0,171490.0,0.52655,0.0,100.0,27.0,0.774,100.0,97.7926,45.2963,17.6629639,0.0,0.01417,0.0,100.0
9913,Bos taurus,cattle,1,9913,9903,9895,Eukaryota,0,573.0,16.433,100.0,99.7934,145.288,86.8836899,0.0,171490.0,0.30081,0.0,100.0,25.0,0.716,100.0,97.944,45.0,17.6200008,0.0,0.01312,0.0,100.0
-100009903,Non-species-specific reads in genus Bos,,1,-100009903,9903,9895,Eukaryota,0,410.0,11.758,100.0,99.861,142.741,85.2808914,0.0,117859.99999999999,0.21524,0.0,100.0,1.0,0.028,100.0,100.0,49.0,17.3999996,0.0,0.00052,0.0,100.0
72004,Bos mutus,wild yak,1,72004,9903,9895,Eukaryota,0,18.0,0.516,100.0,94.9,110.889,56.2704353,0.0,5440.0,0.00945,0.0,100.0,1.0,0.028,100.0,91.8,49.0,19.0,0.0,0.00052,0.0,100.0
9909,Bos primigenius,aurochs,1,9909,9903,9895,Eukaryota,0,2.0,0.057,100.0,100.0,136.5,81.298439,0.0,570.0,0.00105,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
544,Citrobacter,"",2,-100,544,543,Bacteria,0,44.0,1.261,-0.1844249,94.9455,137.409,72.1517258,0.0,164493.34058091004,0.0231,2.987716,23.6032401,2950.0,84.605,23.6032401,89.8668,43.7278,14.9711866,0.0,1.54869,1.4897552,23.6032401
1981983,Citrobacter sp. L55,"",1,1981983,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,164493.34058091004,,,100.0,2430.0,69.691,100.0,88.365,44.2362,15.0059261,0.0,1.2757,0.0,100.0
546,Citrobacter freundii,"",1,546,544,543,Bacteria,0,21.0,0.602,-0.1043225,93.9714,142.81,73.7731552,0.0,7185.482075648726,0.01102,1.0978048,21.5753561,492.0,14.11,21.5753561,97.2632,41.1484,14.7707319,0.0,0.25829,0.2450435,21.5753561
1855329,Citrobacter sp. NLAE-zl-C269,"",1,1855329,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,66.08907228000001,,,100.0,1.0,0.028,100.0,89.6,48.0,14.8999996,0.0,0.00052,0.0,100.0
545,Citrobacter koseri,"",1,545,544,543,Bacteria,0,1.0,0.028,-0.1431743,82.6,149.0,54.1487427,0.0,8.8948687921294,0.00052,0.1496497,0.5982235,22.0,0.63,0.5982235,91.0727,44.8636,16.25,0.0,0.01155,0.150872,0.5982235
2066049,Citrobacter freundii complex sp. CFNIH2,"",1,2066049,544,543,Bacteria,0,3.0,0.086,100.0,92.2667,113.667,53.3586082,0.0,1.58605414,0.00157,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
67829,Citrobacter murliniae,"",1,67829,544,543,Bacteria,0,2.0,0.057,100.0,100.0,107.5,61.4863243,0.0,1.05122193,0.00105,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
184912,Citrobacter sp. TSA-1,"",1,184912,544,543,Bacteria,0,2.0,0.057,100.0,99.65,147.5,88.1167908,0.0,1.05122193,0.00105,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
67827,Citrobacter werkmanii,"",1,67827,544,543,Bacteria,0,6.0,0.172,0.505943,96.7833,142.5,78.9889755,0.0,0.6163781359642906,0.00315,0.0402473,0.9083636,1.0,0.028,0.9083636,97.8,46.0,15.8999996,0.0,0.00052,0.0056578,0.9083636
133448,Citrobacter youngae,"",1,133448,544,543,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,0.10145690366693112,,,0.1535154,1.0,0.028,0.1535154,86.0,50.0,14.8999996,0.0,0.00052,0.0168482,0.1535154
200446,uncultured Citrobacter sp.,"",1,200446,544,543,Bacteria,0,1.0,0.028,0.4368619,100.0,106.0,60.4685211,0.0,0.0022559099421966804,0.00052,0.0069348,0.4368619,0,0,-100,0.0,0.0,0.0,0.0,,,0.4368619
57706,Citrobacter braakii,"",1,57706,544,543,Bacteria,0,2.0,0.057,-0.0159872,86.45,140.5,57.9433632,0.0,-0.00016806095239296,0.00105,0.0628877,-0.0159872,0,0,-100,0.0,0.0,0.0,0.0,,,-0.0159872
35703,Citrobacter amalonaticus,"",1,35703,544,543,Bacteria,0,3.0,0.086,-0.2686689,97.3,149.333,84.5683975,0.0,-0.004261234211342459,0.00157,1.1126893,-0.2686689,0,0,-100,0.0,0.0,0.0,0.0,,,-0.2686689
