	RNA1 Hubei chryso-like virus 1 (Chryso)	RNA2 Hubei chryso-like virus 1 (Chryso)	RNA3 Hubei chryso-like virus 1 (Chryso)	RNA4 Hubei chryso-like virus 1 (Chryso)	RNA1 Keturi virus (Chryso)	RNA2 Keturi virus (Chryso)	RNA3 Keturi virus (Chryso)	RNA4 Keturi virus (Chryso)	RNA1 Culex mosquito virus 4 (Chu)	RNA2 Culex mosquito virus 4 (Chu)	RNA1 Culex-associated Luteo-like virus (Luteo)	RNA2 Culex-associated Luteo-like virus (Luteo)	RNA1 Culex narnavirus 1 (Narna)	RNA2 Culex narnavirus 1 (Narna)	PB1 Ūsinis virus (Orthomyxo)	PB2 Ūsinis virus (Orthomyxo)	PA Ūsinis virus (Orthomyxo)	NP Ūsinis virus (Orthomyxo)	gp64 Ūsinis virus (Orthomyxo)	hypothetical Ūsinis virus (Orthomyxo)	hypothetical2 Ūsinis virus (Orthomyxo)	hypothetical3 Ūsinis virus (Orthomyxo)	PB1 Wuhan mosquito virus 6 (Orthomyxo)	PB2 Wuhan mosquito virus 6 (Orthomyxo)	PA Wuhan mosquito virus 6 (Orthomyxo)	NP Wuhan mosquito virus 6 (Orthomyxo)	gp64 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical Wuhan mosquito virus 6 (Orthomyxo)	hypothetical2 Wuhan mosquito virus 6 (Orthomyxo)	hypothetical3 Wuhan mosquito virus 6 (Orthomyxo)	PB1 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PA Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	NP Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	gp64 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical2 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	hypothetical3 Guadeloupe mosquito quaranja-like virus 1 (Orthomyxo)	PB1 Astopletus virus (Orthomyxo)	PB2 Astopletus virus (Orthomyxo)	PA Astopletus virus (Orthomyxo)	NP Astopletus virus (Orthomyxo)	gp64 Astopletus virus (Orthomyxo)	hypothetical Astopletus virus (Orthomyxo)	hypothetical2 Astopletus virus (Orthomyxo)	hypothetical3 Astopletus virus (Orthomyxo)	RNA1 3110|Partiti-like (Partiti)	RNA2 3110|Partiti-like (Partiti)	RNA1 1636|Partiti-like (Partiti)	RNA2 1636|Partiti-like (Partiti)	Chaq_RNA3 1636|Partiti-like (Partiti)	RNA1 3256|Partiti-like (Partiti)	RNA2 3256|Partiti-like (Partiti)	L Culex bunyavirus 2 (Peribunya)	NP Culex bunyavirus 2 (Peribunya)	L 61|Peribunya-like (Peribunya)	NP 61|Peribunya-like (Peribunya)	GP 61|Peribunya-like (Peribunya)	L Barstukas virus (Phasma)	NP Barstukas virus (Phasma)	GP Barstukas virus (Phasma)	L 76|Phasma-like (Phasma)	NP 76|Phasma-like (Phasma)	GP 76|Phasma-like (Phasma)	L 63|Phenui-like (Phenui)	NP 63|Phenui-like (Phenui)	GP 63|Phenui-like (Phenui)	VP2 296|Reo-like (Reo)	VP1 296|Reo-like (Reo)	VP3 296|Reo-like (Reo)	VP4 296|Reo-like (Reo)	VP5 296|Reo-like (Reo)	VP6 296|Reo-like (Reo)	VP7 296|Reo-like (Reo)	VP8 296|Reo-like (Reo)	VP1 Lobuck virus (Reo)	RNA6 Lobuck virus (Reo)	RNA7 Lobuck virus (Reo)	RNA9 Lobuck virus (Reo)	RNA10 Lobuck virus (Reo)	RNA1 Marma virus (Solemo)	RNA2 Marma virus (Solemo)	RNA1 Culex mosquito virus 6 (Solemo)	RNA2 Culex mosquito virus 6 (Solemo)	RNA1 Guadeloupe mosquito virus (Solemo)	RNA2 Guadeloupe mosquito virus (Solemo)	RNA1 Wenzhou sobemo-like virus 4 (Solemo)	RNA2 Wenzhou sobemo-like virus 4 (Solemo)	RNA1 Kellev virus (Solemo)	RNA2 Kellev virus (Solemo)	RNA1 312|Tombus-like (Tombus)	RNA2 312|Tombus-like (Tombus)	RNA1 Aedes aegypti totivirus (Toti)	RNA2 Aedes aegypti totivirus (Toti)	RNA1 6512|Toti-like (Toti)	RNA2 6512|Toti-like (Toti)
CMS002_023a_Rb_S138_L004	45081.6757154034	13999.85774911686	14687.403684297873	7468.171364897224									163191.8668293972	124476.2635731092																																								129234.97635822343	143110.20705077256																																									
CMS002_022a_Rb_S137_L004	53794.54230778349	52241.636833495344	54150.16951563574	14592.56976220394									76361.71470991608	27441.901430602564																																			219.74399824204798	565.055995479552	180.50399855596802			41410.1545134913	66196.97439144316																																									
CMS001_053_Ra_S8					12388.955582232895	28283.31332533013	13469.387755102041	12773.109243697478																																																																									51634.71771314644	21304.541107054814														
CMS001_059_Ra_S10									44252.45466915762	14890.954727616925			16350.64232419442	23182.80760471583																																								31838.93955518435	51661.65990866596																																									
CMS001_044_Ra_S25									22040.404090659198	10756.51323792442			12921.977427431835	5083.2316267599435																																								28450.958468605608	27622.485956380584																										95153.09902603964	34081.877332183794														
CMS002_051a_Rb_S6_L004									123443.67631950128	32356.606772822142			38916.91936031808	0.0																																								110429.32388560343	114288.79339377365																										60141.71594843263	26181.078496086648														
CMS002_054a_Rb_S8_L004									136118.1524867596	48083.40526730831																																																																																						
CMS002_057a_Rb_S10_L004									45282.333596192926	10530.138884397335																																												45794.996834292026	83541.01275712957																																									
CMS002_056a_Rb_S9_L004									12.438151292697064	0.0													24384.41310064547	16098.997194156798	18049.24695194836	32946.638650175526	7637.429696641796	15727.82062735131	1837.0094492746327	7134.139436566554																																																			1060518.906685706	413744.5610442795	242864.87740737875	91002.50820414793												
CMS002_035a_Rb_S169_L004											1691.1472362062304	951.9702985266861																																										171197.44587986474	177070.84450311854																										928360.7021136152	253337.4644699797														
CMS002_032a_Rb_S166_L004											0.0	27.99912642725547																																																																					869909.608934032	361550.7927741032														
CMS002_040a_Rb_S174_L004											59845.33282561584	31818.207271933115																																										1960.0447240445626	2020.6646639634664																										823137.9575121577	327596.890870637														
CMS002_031a_Rb_S165_L004											173.59458384898392	72.79772871086422	0.0	717.1886206072197																																																																			697149.5157140355	271489.7687012515														
CMS002_041a_Rb_S176_L004											19011.406844106463	9838.893026537573																																																																					319729.7697789393	129935.47344173076														
CMS002_038a_Rb_S172_L004											75872.03279257687	37754.022074511275	0.0	138.4048215206915																																								0.0	67.3554887987822																										652997.9928064338	248332.9516522301														
CMS002_029e_Rb_S164_L004											27601.53883198844	12482.010561270488											6102.394403412308	3711.765668054909	7027.190256300565	15476.175497313689	2755.514173911949	2138.983605319778	830.4289291241491	2610.8182241403174																								55588.48490563496	65873.668045209																										480770.00794794766	160319.53443886145														
CMS001_035_Ra_S20													31141.084842155593	36167.69631465707																																																20381.094108893274	63326.970981204104	3865.9376920837244				2252.604059620017	1397.6010588883319	2721.211473482575	3239.145983541192	2367.7006174108205	0.0	0.0	534.3768754573033								39214.16969603218	19247.980729920557												
CMS001_022_Ra_S6													10569.09546158008	25227.4242862715																																																																																		
CMS001_011_Ra_S4													53638.159467518904	66308.49176491311																																																39597.55426870693	81589.07832163307	8572.999902947171	3583.84178732963	1857.374859605986	2516.657560027927																													
CMS001_045_Ra_S2													8927.110988084602	8316.87154774337																																																																																		
CMS001_047_Ra_S4													15174.201341268543	23415.57935000063																																																																																		
CMS001_058_Ra_S9													24013.23653383998	5498.446091322017																																																																													0.0	242.63403508488148				
CMS001_037_Ra_S21													21188.519949167683	21572.278772475056																																																35780.14299116819	118145.64394552102	12422.7621235159																																
CMS001_019_Ra_S14													46158.00797715063	70882.14200334687																																																28533.531752450584	20009.0582640484	71916.14635566628	6050.2231126491215	0.0	5210.704853838448																													
CMS001_018_Ra_S14													10619.424487587605	6693.760459000717																																																3785.0603345087507	12519.814952605868	873.4754618097118																			3535.7943935560147	2309.315713291272												
CMS001_023_Ra_S17													55959.585792115955	62628.18173811291																																																																																		
CMS001_048_Ra_S5													6341.457276948048	11437.271160209872																																																			1601.2506450535775	664.0257414321707	1117.4604620101388																8331.21553981636	5071.655083256909												
CMS001_052_Ra_S7													19307.47260213647	23881.122840570228																																																																													0.0	97.05361403395258				
CMS001_041_Ra_S10													32694.993520137905	21446.456207456245																																								49304.21780070858	39820.56497784004																																									
CMS001_029_Ra_S18													142122.87831699738	130962.41679982886																																																																																		
CMS001_030_Ra_S7													39256.64028586887	49681.03979767732																																								50186.57470397263	69234.70693626824																																									
