,cluster,kingdom
5683,1,Viruses
1736,2,Viruses
6256,3,Viruses
1338,4,Viruses
4333,5,Viruses
4964,6,Viruses
5623,7,Viruses
2354,8,Viruses
2957,9,Viruses
4598,10,Bacteria
3498,11,Viruses
3184,12,Viruses
3620,13,Viruses
5467,15,Viruses
2784,16,Viruses
1326,17,Viruses
6184,18,Viruses
6105,20,Viruses
5990,22,Eukaryota
284,23,Viruses
6652,24,Viruses
1168,25,Viruses
5886,27,Viruses
3631,28,Viruses
4278,29,Viruses
3415,30,Viruses
5082,32,Viruses
2659,36,Bacteria
5846,39,Viruses
4811,40,Bacteria
1385,42,Viruses
597,43,Viruses
2358,44,Viruses
5743,45,Viruses
1092,46,Bacteria
763,47,Eukaryota
1553,49,Viruses
2090,50,Viruses
6488,55,Viruses
6429,56,Viruses
4883,57,Viruses
2438,59,Viruses
2246,60,Viruses
4926,61,Viruses
4429,63,Viruses
4023,64,Bacteria
2645,65,Eukaryota
6840,70,Viruses
2394,72,Eukaryota
5669,76,Viruses
5367,77,Eukaryota
2905,78,Viruses
4026,79,Bacteria
4149,81,Viruses
2356,82,
4254,86,Eukaryota
5626,88,Eukaryota
3154,98,Viruses
3108,99,Bacteria
3699,100,Eukaryota
882,104,
120,116,Eukaryota
6468,117,Viruses
2108,118,Eukaryota
4138,126,Eukaryota
2345,128,Viruses
4800,130,Eukaryota
2319,132,
5407,143,Viruses
834,145,Eukaryota
621,150,Eukaryota
1826,160,Eukaryota
1794,161,Eukaryota
2502,165,Eukaryota
2614,166,Eukaryota
3266,175,Viruses
1887,181,Eukaryota
1447,185,Eukaryota
417,186,Viruses
2037,223,Bacteria
3351,224,Eukaryota
4511,226,Viruses
4386,244,Eukaryota
1177,246,Viruses
4772,253,Viruses
4879,256,Viruses
4624,259,Eukaryota
1364,272,
2992,274,
6507,275,Eukaryota
3249,280,Bacteria
4901,282,Viruses
3716,283,Viruses
3558,286,Viruses
2307,290,Eukaryota
5051,292,
4292,293,Eukaryota
5207,294,
890,295,Eukaryota
792,296,Viruses
1961,304,Eukaryota
4296,310,Eukaryota
4714,312,Viruses
4558,313,Viruses
805,314,Eukaryota
2626,321,Eukaryota
4405,324,Eukaryota
4112,326,Viruses
1567,332,Eukaryota
6127,333,Eukaryota
496,334,Eukaryota
2952,337,Eukaryota
4118,342,Eukaryota
4271,345,Eukaryota
3838,349,Bacteria
6629,354,Viruses
1480,357,Eukaryota
440,359,Bacteria
3858,360,Eukaryota
53,363,Eukaryota
586,377,Eukaryota
6266,381,
5137,387,Eukaryota
1146,389,Eukaryota
1956,397,Eukaryota
2892,398,
3214,399,Viruses
5025,400,Bacteria
2254,401,Eukaryota
2164,404,Eukaryota
3969,412,Bacteria
4510,416,Viruses
2540,423,Eukaryota
5355,425,
2973,444,
6025,446,Eukaryota
2609,447,Eukaryota
1342,448,Eukaryota
2873,457,Eukaryota
3494,458,Viruses
343,462,Eukaryota
6422,466,Eukaryota
5929,469,Viruses
6659,470,Bacteria
5819,475,Eukaryota
1356,479,Eukaryota
4897,483,Bacteria
3724,484,Viruses
5803,486,Viruses
6104,489,Eukaryota
4216,490,Eukaryota
5490,491,Viruses
5971,493,Viruses
2076,494,Viruses
4459,499,Viruses
5610,503,Viruses
5818,504,Bacteria
2968,506,Viruses
316,509,Viruses
4569,514,Eukaryota
2140,515,Viruses
104,516,Viruses
6204,520,Eukaryota
2592,521,Viruses
3450,523,Viruses
5560,531,Viruses
6155,541,Bacteria
1653,543,Eukaryota
4189,546,Eukaryota
4914,558,Eukaryota
1513,561,Viruses
170,563,Bacteria
168,565,Eukaryota
6134,566,Eukaryota
6042,569,Eukaryota
1290,580,Eukaryota
2897,581,Viruses
2153,583,Eukaryota
3200,587,Eukaryota
4003,594,Eukaryota
4516,596,Eukaryota
4054,598,Bacteria
4589,603,Bacteria
5682,607,Eukaryota
6660,623,Eukaryota
1287,629,Eukaryota
3660,634,Bacteria
396,635,Eukaryota
1859,636,Eukaryota
4436,643,Bacteria
871,646,Eukaryota
6275,654,Bacteria
1524,656,Eukaryota
6060,664,Eukaryota
6464,668,Viruses
4284,670,Eukaryota
2009,674,Eukaryota
5366,682,Eukaryota
3250,685,Eukaryota
3348,688,Eukaryota
4659,695,Eukaryota
50,696,Bacteria
6458,706,Viruses
221,719,
4632,725,Eukaryota
455,738,Eukaryota
1417,743,Eukaryota
1097,747,
5994,748,Eukaryota
3588,756,Bacteria
2159,759,Eukaryota
388,760,Eukaryota
532,762,Eukaryota
389,763,Viruses
3816,764,Eukaryota
3487,767,Eukaryota
