tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,56157.0,901.336,99.0,80.0734,1427.81,194.1842499,0.0,45520546.88782149,6.90492,2.7426937,99.0,304112.0,4881.09,99.0,68.5213,435.841,144.7948456,0.0,37.39281,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,17827.0,286.128,33.0660296,82.0139,251.534,50.472477,0.0,45520546.88782149,2.19196,2.7332158,99.0,283416.0,4548.913,99.0,67.98,440.309,133.8542328,0.0,34.84809,0.0279299,99.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,31441.0,504.637,100.0,76.5147,2359.52,302.4533691,0.0,8257599.9,3.8659,0.0,100.0,20527.0,329.464,100.0,75.9609,377.179,296.5119324,0.0,2.52395,0.0,100.0
42430,Culex pilosus,"",1,42430,7174,7157,Eukaryota,0,5866.0,94.151,100.0,92.0447,175.996,62.4035797,0.0,932094.8999999999,0.72127,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,976.0,15.665,99.0,87.3757,453.857,127.166481,0.0,174447.99899999998,0.12001,0.0081413,99.0,133.0,2.134,99.0,73.9646,68.7068,73.4942474,0.0,0.01635,0.0019538,99.0
7178,Culex tritaeniorhynchus,"",1,7178,7174,7157,Eukaryota,0,39.0,0.625,100.0,77.2605,905.231,128.7866669,0.0,11266.2,0.0048,0.0,100.0,32.0,0.513,100.0,70.2288,70.875,35.7064857,0.0,0.00393,0.0,100.0
946124,Culex pipiens complex sp. YL-2011,"",1,946124,7174,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,633.6,,,100.0,4.0,0.064,100.0,45.213,32.5,0.069831,0.0,0.00049,0.0,100.0
182211,Culex annulus,"",1,182211,7174,7157,Eukaryota,0,2.0,0.032,100.0,86.6,145.5,60.6566811,0.0,316.8,0.00025,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
346051,Culex whitmorei,"",1,346051,7174,7157,Eukaryota,0,1.0,0.016,100.0,88.5,148.0,65.7958832,0.0,158.4,0.00012,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
526217,Culex coronator,"",1,526217,7174,7157,Eukaryota,0,1.0,0.016,100.0,90.3,144.0,67.1739273,0.0,158.4,0.00012,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
561267,Culex theileri,"",1,561267,7174,7157,Eukaryota,0,1.0,0.016,100.0,86.0,150.0,61.6777802,0.0,158.4,0.00012,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
308723,Culex nigropunctatus,"",1,308723,7174,7157,Eukaryota,0,3.0,0.048,3.7868455,86.0333,81.0,27.8673534,0.0,17.995089816,0.00037,0.0013366,3.7868455,0,0,-100,0.0,0.0,0.0,0.0,,,3.7868455
7158,Aedes,"",2,-100,7158,7157,Eukaryota,0,78373.0,1257.91,99.0,78.1971,2313.96,121.7273483,0.0,35277484.176,9.63654,0.0610951,99.0,352989.0,5665.581,99.0,67.0837,448.083,129.4522858,0.0,43.4026,0.0746694,99.0
7160,Aedes albopictus,Asian tiger mosquito,1,7160,7158,7157,Eukaryota,0,44718.0,717.737,99.0,78.9325,3668.76,164.4033966,0.0,35277484.176,5.49841,0.0013622,99.0,179538.0,2881.639,99.0,63.6541,203.475,88.7394791,0.0,22.07552,0.06689,99.0
7159,Aedes aegypti,yellow fever mosquito,1,7159,7158,7157,Eukaryota,0,10129.0,162.573,99.0,82.7085,274.035,62.9101906,0.0,28712980.197,1.24544,0.0051368,99.0,172397.0,2767.024,99.0,70.5405,705.325,170.77742,0.0,21.19748,0.0077793,99.0
28624,Aedes atropalpus,rock-pool mosquito,1,28624,7158,7157,Eukaryota,0,23495.0,377.101,100.0,74.8402,617.687,65.9485245,0.0,3896164.8,2.88888,0.0,100.0,1025.0,16.451,100.0,86.0486,38.599,306.2962952,0.0,0.12603,0.0,100.0
