tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
12137,Sobemovirus,"",2,-100,12137,2169577,Viruses,0,2.0,0.028,100.0,89.95,136.5,62.7407417,0.0,19561120.0,0.00047,0.0,100.0,139525.0,1956.168,100.0,84.0891,439.965,307.6394043,0.0,33.04385,0.0,100.0
2315808,Yongsan sobemo-like virus 1,"",1,2315808,12137,2169577,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,19561120.0,,,100.0,139521.0,1956.112,100.0,84.0888,439.977,307.6394043,0.0,33.0429,0.0,100.0
1340805,Bat sobemovirus,"",1,1340805,12137,2169577,Viruses,0,2.0,0.028,100.0,89.95,136.5,62.7407417,0.0,840.0,0.00047,0.0,100.0,4.0,0.056,100.0,95.175,45.5,307.6526489,0.0,0.00095,0.0,100.0
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,10146.0,142.248,16.2699101,89.3503,346.366,123.4783096,0.0,11245166.088080391,2.40289,2.7426937,99.0,82190.0,1152.32,99.0,53.0195,77.9909,39.0139465,0.0,19.46514,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,6358.0,89.14,10.0817991,85.0122,334.049,86.5368423,0.0,11245166.088080391,1.50577,2.7332158,99.0,81729.0,1145.857,99.0,52.9781,78.0096,38.9554024,0.0,19.35596,0.0279299,99.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,3438.0,48.201,100.0,97.6095,383.998,198.333374,0.0,81887.59367301,0.81423,0.0,100.0,25.0,0.35,100.0,52.0354,39.24,73.9800797,0.0,0.00592,0.0,100.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,349.0,4.893,99.0,87.023,200.696,59.2840118,0.0,67236.1143418107,0.08265,0.0081413,99.0,432.0,6.056,99.0,60.9543,77.1273,47.7195244,0.0,0.10231,0.0019538,99.0
7178,Culex tritaeniorhynchus,"",1,7178,7174,7157,Eukaryota,0,1.0,0.014,100.0,88.1,118.0,49.4202156,0.0,577.17787414,0.00024,0.0,100.0,4.0,0.056,100.0,47.4497,30.25,76.4380646,0.0,0.00095,0.0,100.0
7158,Aedes,"",2,-100,7158,7157,Eukaryota,0,385.0,5.397,32.9510144,82.4189,417.306,69.8869934,0.0,3012554.8940648832,0.09118,0.0610951,99.0,34102.0,478.116,99.0,47.7015,111.009,36.0406914,0.0,8.07641,0.0746694,99.0
7160,Aedes albopictus,Asian tiger mosquito,1,7160,7158,7157,Eukaryota,0,212.0,2.972,99.0,81.1338,558.679,84.1230621,0.0,3012554.8940648832,0.05021,0.0013622,99.0,21853.0,306.383,99.0,46.8816,128.751,40.7783775,0.0,5.17547,0.06689,99.0
7159,Aedes aegypti,yellow fever mosquito,1,7159,7158,7157,Eukaryota,0,173.0,2.425,61.4947996,83.9938,244.064,52.4416428,0.0,1688068.949365826,0.04097,0.0051368,99.0,12249.0,171.733,99.0,49.1642,79.3575,27.5883503,0.0,2.90094,0.0077793,99.0
7164,Anopheles,"",2,-100,7164,7157,Eukaryota,0,23.0,0.322,3.0009504,84.0174,122.652,44.5468864,0.0,1301977.5408364637,0.00545,0.0190841,99.0,13135.0,184.155,99.0,45.9256,613.732,195.200592,0.0,3.11078,0.0071156,99.0
7165,Anopheles gambiae,African malaria mosquito,1,7165,7164,7157,Eukaryota,0,23.0,0.322,3.0009504,84.0174,122.652,44.5468864,0.0,1301977.5408364637,0.00545,0.0190841,99.0,9475.0,132.841,99.0,46.9994,831.95,266.6661377,0.0,2.24397,0.0042246,99.0
43151,Anopheles darlingi,"",1,43151,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,311367.969,,,99.0,2266.0,31.769,99.0,42.8721,51.5578,9.5318146,0.0,0.53666,0.0012993,99.0
74873,Anopheles sinensis,"",1,74873,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,189208.305,,,99.0,1377.0,19.305,99.0,43.5531,43.7669,11.0447035,0.0,0.32612,0.0015917,99.0
30066,Anopheles merus,"",1,30066,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1108.8,,,100.0,8.0,0.112,100.0,43.2695,51.25,9.4921398,0.0,0.00189,0.0,100.0
7173,Anopheles arabiensis,"",1,7173,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,970.2,,,100.0,7.0,0.098,100.0,45.695,151.0,53.6575775,0.0,0.00166,0.0,100.0
74871,Anopheles nivipes,"",1,74871,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,277.2,,,100.0,2.0,0.028,100.0,63.636,44.0,19.4749546,0.0,0.00047,0.0,100.0
-200,All taxa with neither family nor genus classification,,2,-100,-200,-300,Uncategorized,0,198578.0,2784.103,0.9572698,81.1245,1335.44,250.0006714,0.0,286058.14830833,47.02943,1004.6601563,0.9572698,59546.0,834.847,0.2359013,66.2708,483.286,305.4185181,0.0,14.10234,518.2056274,0.9572698
1922926,Hubei mosquito virus 2,"",1,1922926,-200,-300,Viruses,0,198562.0,2783.879,100.0,81.1232,1335.53,250.0134735,0.0,286058.14830833,47.02564,0.0,100.0,59158.0,829.407,100.0,66.3078,486.153,307.3044128,0.0,14.01045,0.0,100.0
1795439,Kaiowa virus,"",1,1795439,-200,-300,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,113.09108322,,,100.0,342.0,4.794,100.0,60.4781,42.8684,10.0803051,0.0,0.081,0.0,100.0
2027350,Croada virus,"",1,2027350,-200,-300,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,1.6513091000000002,,,100.0,5.0,0.07,100.0,42.966,47.8,61.1748123,0.0,0.00118,0.0,100.0
