tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
12137,Sobemovirus,"",2,-100,12137,2169577,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,32380680.000000004,100.0,122058.0,3238.068,100.0,84.0863,439.954,307.6223755,0.0,43.47538,0.0,100.0
2315808,Yongsan sobemo-like virus 1,"",1,2315808,12137,2169577,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,32380680.000000004,100.0,122058.0,3238.068,100.0,84.0863,439.954,307.6223755,0.0,43.47538,0.0,100.0
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,3155.0,83.698,9.4414728,88.8436,177.928,72.9170837,0.0,8457344.295997333,99.0,32660.0,866.434,99.0,53.8302,86.8779,53.5017166,0.0,11.63304,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,2368.0,62.82,7.0108255,86.7076,151.964,59.2491112,0.0,8457344.295997333,99.0,32511.0,862.482,99.0,53.8196,87.0189,53.4326286,0.0,11.57997,0.0279299,99.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,87.0,2.308,53.156133,87.6023,133.77,54.5963516,0.0,39637.04700037815,99.0,148.0,3.926,99.0,55.8857,56.1419,66.9610672,0.0,0.05272,0.0019538,99.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,699.0,18.543,100.0,96.2297,271.428,121.5016708,0.0,17507.323013039997,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
946124,Culex pipiens complex sp. YL-2011,"",1,946124,7174,7157,Eukaryota,0,1.0,0.026,100.0,91.8,147.0,71.9586105,0.0,281.94782927999995,100.0,1.0,0.026,100.0,93.9,49.0,307.6526489,0.0,0.00036,0.0,100.0
7158,Aedes,"",2,-100,7158,7157,Eukaryota,0,144.0,3.82,23.2125069,82.3172,224.389,50.0421791,0.0,2934550.4597802553,99.0,16168.0,428.919,99.0,46.5295,79.8514,31.887516,0.0,5.75882,0.0746694,99.0
7160,Aedes albopictus,Asian tiger mosquito,1,7160,7158,7157,Eukaryota,0,61.0,1.618,99.0,84.5759,117.279,42.0941887,0.0,2934550.4597802553,99.0,11272.0,299.034,99.0,45.5144,81.7714,28.8183041,0.0,4.01493,0.06689,99.0
7159,Aedes aegypti,yellow fever mosquito,1,7159,7158,7157,Eukaryota,0,83.0,2.201,55.8023971,80.6571,303.108,55.8834724,0.0,1274295.5110745125,99.0,4890.0,129.726,99.0,48.8799,75.4865,39.0020943,0.0,1.74175,0.0077793,99.0
1397682,Aedes bromeliae,"",1,1397682,7158,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1574.1000000000001,100.0,6.0,0.159,100.0,38.1047,30.3333,-0.4671622,0.0,0.00214,0.0,100.0
-200,All taxa with neither family nor genus classification,,2,-100,-200,-300,Uncategorized,0,168746.0,4476.651,1.8677935,81.0855,1348.8,253.2633362,0.0,907323.6703348202,1.8677935,48146.0,1277.261,0.5655046,65.7674,473.427,298.8034058,0.0,17.14894,518.2056274,1.8677935
1922926,Hubei mosquito virus 2,"",1,1922926,-200,-300,Viruses,0,168699.0,4475.404,100.0,81.0814,1349.13,253.3114014,0.0,907323.6703348202,100.0,47600.0,1262.777,100.0,66.1362,478.395,302.0933838,0.0,16.95447,0.0,100.0
1895923,Bacteroidetes bacterium 43-16,"",1,1895923,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,12.894081172561604,2.8090451,306.0,8.117,2.8090451,30.1746,37.0458,2.0809214,0.0,0.10899,0.8142605,2.8090451
1274723,cyanobacterium SI-SJ,"",1,1274723,-200,-300,Bacteria,0,2.0,0.053,100.0,100.0,150.0,90.4814835,0.0,9.899305550000001,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
1923664,Wenzhou tombus-like virus 11,"",1,1923664,-200,-300,Viruses,0,2.0,0.053,100.0,87.25,140.0,58.9561081,0.0,9.899305550000001,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
1923660,Wenzhou sobemo-like virus 4,"",1,1923660,-200,-300,Viruses,0,1.0,0.026,100.0,86.3,102.0,38.5086365,0.0,9.32374944,100.0,3.0,0.079,100.0,78.6333,35.6667,307.6526489,0.0,0.00107,0.0,100.0
1628856,bacteria symbiont BFo2 of Frankliniella occidentalis,"",1,1628856,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,6.682561469807634,6.8544018,65.0,1.724,6.8544018,46.5456,41.8769,52.0620117,0.0,0.02315,0.0588668,6.8544018
1977087,Proteobacteria bacterium,"",1,1977087,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,1.931655428290972,1.5331277,84.0,2.228,1.5331277,33.8816,32.3095,3.080256,0.0,0.02992,0.3670005,1.5331277
542424,uncultured bacterium ARCTIC33_F_06,"",1,542424,-200,-300,Bacteria,0,2.0,0.053,1.431935,90.196,255.0,88.6675644,0.0,0.1417516209273925,1.431935,0,0,-100,0.0,0.0,0.0,0.0,,,1.431935
698383,uncultured bacterium 213,"",1,698383,-200,-300,Bacteria,0,1.0,0.026,0.7625247,91.3,150.0,72.6382751,0.0,0.037030205634485704,0.7625247,0,0,-100,0.0,0.0,0.0,0.0,,,0.7625247
723618,uncultured Gemmatimonadales bacterium HF4000_15H13,"",1,723618,-200,-300,Bacteria,0,2.0,0.053,0.2918959,90.55,121.5,55.2453995,0.0,0.028895667028922448,0.2918959,0,0,-100,0.0,0.0,0.0,0.0,,,0.2918959
1940762,Nostocales cyanobacterium HT-58-2,"",1,1940762,-200,-300,Bacteria,0,2.0,0.053,0.0323313,94.55,143.5,75.7518845,0.0,0.00320057417528715,0.0323313,0,0,-100,0.0,0.0,0.0,0.0,,,0.0323313
1909294,Rhizobiales bacterium,"",1,1909294,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-0.00399395981907988,-0.2716403,1.0,0.026,-0.2716403,90.3,31.0,307.6526489,0.0,0.00036,0.2666084,-0.2716403
1895811,Rhizobiales bacterium 62-47,"",1,1895811,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-0.0045493378151067595,-0.3094131,1.0,0.026,-0.3094131,79.6,49.0,307.6526489,0.0,0.00036,9.2534904,-0.3094131
164851,uncultured soil bacterium,"",1,164851,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-0.007079370843175701,-0.2362015,2.0,0.053,-0.2362015,60.0,15.0,-0.6232493,0.0,0.00071,0.2199716,-0.2362015
1797558,Burkholderiales bacterium RIFCSPHIGHO2_12_FULL_63_20,"",1,1797558,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-0.01193001883998836,-0.3980422,2.0,0.053,-0.3980422,72.289,83.0,35.6575775,0.0,0.00071,13.1387253,-0.3980422
34034,uncultured delta proteobacterium,"",1,34034,-200,-300,Bacteria,0,1.0,0.026,-0.3138803,100.0,150.0,90.4814835,0.0,-0.0152428531870693,-0.3138803,0,0,-100,0.0,0.0,0.0,0.0,,,-0.3138803
171953,uncultured Acidobacteria bacterium,"",1,171953,-200,-300,Bacteria,0,1.0,0.026,-0.3149053,97.2,144.0,80.886055,0.0,-0.015292629883844298,-0.3149053,0,0,-100,0.0,0.0,0.0,0.0,,,-0.3149053
100272,uncultured eukaryote,"",1,100272,-200,-300,Eukaryota,0,1.0,0.026,-0.5094216,93.5,92.0,42.6575775,0.0,-0.024738853184229602,-0.5094216,0,0,-100,0.0,0.0,0.0,0.0,,,-0.5094216
1425163,uncultured bacterium ctg7180000001448,"",1,1425163,-200,-300,Bacteria,0,2.0,0.053,-0.3217465,88.5,122.5,53.183773,0.0,-0.03185066913143075,-0.3217465,0,0,-100,0.0,0.0,0.0,0.0,,,-0.3217465
152507,uncultured actinobacterium,"",1,152507,-200,-300,Bacteria,0,2.0,0.053,-0.4127108,100.0,150.0,90.4814835,0.0,-0.0408555031298494,-0.4127108,0,0,-100,0.0,0.0,0.0,0.0,,,-0.4127108
2015568,Burkholderiales bacterium PBB6,"",1,2015568,-200,-300,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,-0.21633997157652582,-0.1873462,77.0,2.042,-0.1873462,29.7101,60.8312,4.1843858,0.0,0.02743,5.9042578,-0.1873462
77133,uncultured bacterium,"",1,77133,-200,-300,Bacteria,0,28.0,0.742,-0.5315228,97.5,159.679,87.300972,0.0,-0.7771442040132513,-0.5315228,5.0,0.132,-0.5426272,57.9568,39.6,66.8534622,0.0,0.00178,59.0300446,-0.5315228
7164,Anopheles,"",2,-100,7164,7157,Eukaryota,0,6.0,0.159,1.3861295,83.05,136.167,49.0166702,0.0,301087.0254954435,99.0,2444.0,64.836,99.0,42.1669,49.2737,10.5532618,0.0,0.87052,0.0071156,99.0
7165,Anopheles gambiae,African malaria mosquito,1,7165,7164,7157,Eukaryota,0,6.0,0.159,1.3861295,83.05,136.167,49.0166702,0.0,301087.0254954435,99.0,1158.0,30.72,99.0,40.5506,57.4249,10.821208,0.0,0.41246,0.0042246,99.0
74873,Anopheles sinensis,"",1,74873,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,187983.18,99.0,723.0,19.18,99.0,37.2204,49.8658,9.3165445,0.0,0.25752,0.0015917,99.0
43151,Anopheles darlingi,"",1,43151,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,145084.203,99.0,558.0,14.803,99.0,51.6788,31.7061,10.0401325,0.0,0.19875,0.0012993,99.0
7173,Anopheles arabiensis,"",1,7173,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,1049.3999999999999,100.0,4.0,0.106,100.0,67.9705,33.5,153.8263245,0.0,0.00142,0.0,100.0
30066,Anopheles merus,"",1,30066,7164,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,257.4,100.0,1.0,0.026,100.0,79.2,48.0,307.6526489,0.0,0.00036,0.0,100.0
6972,Blattella,"",2,-100,6972,1049651,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,87356.31300000001,99.0,336.0,8.913,99.0,36.9453,52.7232,1.2958428,0.0,0.11968,0.0138767,99.0
6973,Blattella germanica,German cockroach,1,6973,6972,1049651,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,87356.31300000001,99.0,336.0,8.913,99.0,36.9453,52.7232,1.2958428,0.0,0.11968,0.0138767,99.0
953,Wolbachia,"",2,-100,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,74645.56041924,75.0357463,375.0,9.948,75.0357463,42.71,39.0107,1.1705137,0.0,0.13357,0.0317862,75.0357463
263437,Wolbachia endosymbiont of Culex quinquefasciatus,"",1,263437,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,74645.56041924,100.0,375.0,9.948,100.0,42.71,39.0107,1.1705137,0.0,0.13357,0.0,100.0
7212,Ceratitis,"",2,-100,7212,7211,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,40821.165,99.0,157.0,4.165,99.0,46.5883,410.038,118.4957275,0.0,0.05592,0.0063372,99.0
7213,Ceratitis capitata,Mediterranean fruit fly,1,7213,7212,7211,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,40821.165,99.0,157.0,4.165,99.0,46.5883,410.038,118.4957275,0.0,0.05592,0.0063372,99.0
28609,Rhagoletis,"",2,-100,28609,7211,Eukaryota,0,2.0,0.053,0.2037274,86.2,130.0,52.1314049,0.0,29652.071446535596,48.5613526,474.0,12.574,48.5613526,40.9286,25.2553,2.2504909,0.0,0.16883,0.0805466,48.5613526
28612,Rhagoletis zephyria,snowberry fruit fly,1,28612,28609,7211,Eukaryota,0,2.0,0.053,0.2037274,86.2,130.0,52.1314049,0.0,29652.071446535596,48.5613526,474.0,12.574,48.5613526,40.9286,25.2553,2.2504909,0.0,0.16883,0.0805466,48.5613526
8009,Esox,"",2,-100,8009,8008,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,18300.0,100.0,69.0,1.83,100.0,33.8427,66.4348,-0.7867926,0.0,0.02458,0.0,100.0
8010,Esox lucius,northern pike,1,8010,8009,8008,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,18300.0,100.0,69.0,1.83,100.0,33.8427,66.4348,-0.7867926,0.0,0.02458,0.0,100.0
7110,Trichoplusia,"",2,-100,7110,7100,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,16180.000000000002,100.0,61.0,1.618,100.0,35.9606,38.9016,-0.6724033,0.0,0.02173,0.0,100.0
7111,Trichoplusia ni,cabbage looper,1,7111,7110,7100,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,16180.000000000002,100.0,61.0,1.618,100.0,35.9606,38.9016,-0.6724033,0.0,0.02173,0.0,100.0
10088,Mus,"",2,-100,10088,10066,Eukaryota,0,55.0,1.459,100.0,99.7325,1043.65,283.9612427,0.0,14590.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
10090,Mus musculus,house mouse,1,10090,10088,10066,Eukaryota,0,55.0,1.459,100.0,99.7325,1043.65,283.9612427,0.0,14590.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
40466,Sparassis,"",2,-100,40466,40465,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,14320.0,100.0,54.0,1.432,100.0,25.5553,52.9444,6.1447601,0.0,0.01923,0.0,100.0
139825,Sparassis crispa,"",1,139825,40466,40465,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,14320.0,100.0,54.0,1.432,100.0,25.5553,52.9444,6.1447601,0.0,0.01923,0.0,100.0
132116,Megachile,"",2,-100,132116,124286,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,11692.593,99.0,45.0,1.193,99.0,30.531,57.5556,-0.1981769,0.0,0.01603,0.0006917,99.0
