tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,2966.0,54.203,6.0015965,86.827,220.578,74.5356216,0.0,4855162.711165805,2.75548,2.7426937,99.0,27261.0,498.194,99.0,54.1212,81.1501,57.0572739,0.0,25.32609,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,2659.0,48.593,5.3508429,86.0685,224.3,73.7556,0.0,4855162.711165805,2.47027,2.7332158,99.0,27098.0,495.215,99.0,54.0771,81.3135,57.0389328,0.0,25.17466,0.0279299,99.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,91.0,1.663,38.2483886,86.6285,196.407,58.6440697,0.0,26707.22997013844,0.08454,0.0081413,99.0,147.0,2.686,99.0,59.6467,47.2381,55.7874947,0.0,0.13657,0.0019538,99.0
42428,Culex erythrothorax,"",1,42428,7174,7157,Eukaryota,0,204.0,3.728,100.0,96.9011,188.186,93.2341003,0.0,2237.3951752,0.18952,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,9.0,0.164,100.0,85.0778,127.444,48.8576698,0.0,1900.2261826,0.00836,0.0,100.0,10.0,0.182,100.0,93.21,162.0,98.0685425,0.0,0.00929,0.0,100.0
7178,Culex tritaeniorhynchus,"",1,7178,7174,7157,Eukaryota,0,3.0,0.054,100.0,85.3667,136.0,53.4784126,0.0,933.3086211,0.00279,0.0,100.0,5.0,0.091,100.0,46.1572,37.0,61.6337547,0.0,0.00465,0.0,100.0
42433,Culex torrentium,"",1,42433,7174,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,178.2,,,100.0,1.0,0.018,100.0,88.0,50.0,307.6526489,0.0,0.00093,0.0,100.0
-200012283,Non-genus-specific reads in family Nodaviridae,,2,-100,-200012283,12283,Viruses,0,8992.0,164.328,100.0,96.3898,2545.81,307.6246338,0.0,2091930.0,8.35377,0.0,100.0,9012.0,164.694,100.0,99.1401,382.129,306.9683838,0.0,8.37235,0.0,100.0
2304486,Culex mosquito virus 6,"",1,2304486,-200012283,12283,Viruses,0,5722.0,104.569,100.0,95.7542,3131.47,307.6086121,0.0,2091930.0,5.31587,0.0,100.0,5725.0,104.624,100.0,99.1497,371.769,307.4378357,0.0,5.31865,0.0,100.0
2304483,Culex mosquito virus 3,"",1,2304483,-200012283,12283,Viruses,0,3270.0,59.759,100.0,97.502,1521.0,307.6526489,0.0,1195540.0,3.0379,0.0,100.0,3272.0,59.795,100.0,99.4554,401.781,307.4640808,0.0,3.03976,0.0,100.0
2304484,Culex mosquito virus 4,"",1,2304484,-200012283,12283,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,2740.0,,,100.0,15.0,0.274,100.0,26.7189,49.1333,19.6630764,0.0,0.01394,0.0,100.0
