Specimen ID,Specimen ID curated,Genus,Species,Sex,Status,Site,Collection Date,Collection Date curated,Latitude,Longitude,Habitat,Habitat_curated
CMS001_001_Ra_S1,CMS001_001,Culex,erythrothorax,female,blood fed,ALCO,2017-10-03T00:00:00Z,2017-10-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_002_Ra_S1,CMS001_002,Culiseta,particeps,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_003_Ra_S2,CMS001_003,Culex,pipiens,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_004_Ra_S2,CMS001_004,Culiseta,incidens,female,blood fed,ALCO,2017-09-12T00:00:00Z,2017-09-12,37.7152,-122.19431, Industrial (waste water treatment plant),Industrial
CMS001_005_Ra_S3,CMS001_005,Culex,erythrothorax,female,blood fed,ALCO,2017-09-29T00:00:00Z,2017-09-29,37.78886,-122.29903,Residential,Residential
CMS001_006_Ra_S5,CMS001_006,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_007_Ra_S12,CMS001_007,Culiseta,particeps,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_008_Ra_S3,CMS001_008,Culiseta,particeps,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_009_Ra_S13,CMS001_009,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_010_Ra_S1,CMS001_010,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_011_Ra_S4,CMS001_011,Aedes,dorsalis,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_012_Ra_S4,CMS001_012,Culex,erythrothorax,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_013_Ra_S5,CMS001_013,Culiseta,incidens,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_014_Ra_S5,CMS001_014,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04838,Marsh,Marsh/Wetland
CMS001_015_Ra_S13,CMS001_015,Culiseta,inornata,female,blood fed,ALCO,2017-09-27T00:00:00Z,2017-09-27,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_016_Ra_S6,CMS001_016,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04846,Marsh,Marsh/Wetland
CMS001_017_Ra_S6,CMS001_017,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04838,Marsh,Marsh/Wetland
CMS001_018_Ra_S14,CMS001_018,Culex,erythrothorax,female,blood fed,ALCO,2017-09-27T00:00:00Z,2017-09-27,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_019_Ra_S14,CMS001_019,Culex,erythrothorax,female,blood fed,ALCO,2017-10-04T00:00:00Z,2017-10-04,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_020_Ra_S15,CMS001_020,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04846,Marsh,Marsh/Wetland
CMS001_021_Ra_S16,CMS001_021,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04838,Marsh,Marsh/Wetland
CMS001_022_Ra_S6,CMS001_022,Culex,erythrothorax,female,blood fed,ALCO,2017-09-27T00:00:00Z,2017-09-27,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_023_Ra_S17,CMS001_023,Culex,erythrothorax,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04838,Marsh,Marsh/Wetland
CMS001_024_Ra_S15,CMS001_024,Culiseta,particeps,female,blood fed,ALCO,2017-10-06T00:00:00Z,2017-10-06,37.58191,-122.04838,Marsh,Marsh/Wetland
CMS001_025_Ra_S7,CMS001_025,Culiseta,incidens,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_026_Ra_S18,CMS001_026,Culex,tarsalis,female,blood fed,ALCO,2017-09-19T00:00:00Z,2017-09-19,37.50953,-121.93113,Park,Park
CMS001_027_Ra_S16,CMS001_027,Culex,tarsalis,female,blood fed,ALCO,2017-09-12T00:00:00Z,2017-09-12,37.8665,-122.31051,Park / Undeveloped,Park
CMS001_028_Ra_S17,CMS001_028,Culex,pipiens,female,blood fed,ALCO,2017-09-12T00:00:00Z,2017-09-12,37.7152,-122.19431, Industrial (waste water treatment plant),Industrial
CMS001_029_Ra_S18,CMS001_029,Culex,pipiens,female,blood fed,ALCO,2017-09-13T00:00:00Z,2017-09-13,37.68473,-121.91341,Park / adjacent to  Industrial (waste water treatment plant),Industrial
CMS001_030_Ra_S7,CMS001_030,Culex,tarsalis,female,blood fed,ALCO,2017-09-10T00:00:00Z,2017-09-10,37.7152,-122.19431, Industrial (waste water treatment plant),Industrial
CMS001_031_Ra_S19,CMS001_031,Culex,tarsalis,female,blood fed,ALCO,2017-09-13T00:00:00Z,2017-09-13,37.8063,-122.2573,Park,Park
CMS001_032_Ra_S7,CMS001_032,Culex,tarsalis,female,blood fed,ALCO,,N.D.,37.66126,-122.13335,Golf Course,Park
CMS001_033_Ra_S8,CMS001_033,Culex,tarsalis,female,blood fed,ALCO,2017-09-11T00:00:00Z,2017-09-11,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_034_Ra_S19,CMS001_034,Culex,erythrothorax,female,blood fed,ALCO,2017-09-11T00:00:00Z,2017-09-11,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_035_Ra_S20,CMS001_035,Culex,tarsalis,female,blood fed,ALCO,2017-09-11T00:00:00Z,2017-09-11,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_036_Ra_S20,CMS001_036,Culex,erythrothorax,female,blood fed,ALCO,2017-09-11T00:00:00Z,2017-09-11,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_037_Ra_S21,CMS001_037,Culex,tarsalis,female,blood fed,ALCO,2017-08-18T00:00:00Z,2017-08-18,,,,N.D.
CMS001_038_Ra_S22,CMS001_038,Culex,tarsalis,female,blood fed,ALCO,2017-08-24T00:00:00Z,2017-08-24,37.58391,-122.09238,Marsh,Marsh/Wetland
CMS001_039_Ra_S9,CMS001_039,Culex,tarsalis,female,blood fed,ALCO,2017-08-24T00:00:00Z,2017-08-24,37.58391,-122.09238,Marsh,Marsh/Wetland
CMS001_040_Ra_S21,CMS001_040,Culex,pipiens,female,blood fed,ALCO,2017-08-31T00:00:00Z,2017-08-31,37.49949,-121.93378,Undeveloped,Undeveloped
CMS001_041_Ra_S10,CMS001_041,Culex,tarsalis,female,blood fed,ALCO,2017-08-31T00:00:00Z,2017-08-31,37.49949,-121.93378,Undeveloped,Undeveloped
CMS001_042_Ra_S23,CMS001_042,Culex,tarsalis,female,blood fed,ALCO,2017-08-25T00:00:00Z,2017-08-25,37.66126,-122.13335,Golf Course,Park
CMS001_043_Ra_S24,CMS001_043,Culex,pipiens,female,blood fed,ALCO,2017-08-25T00:00:00Z,2017-08-25,37.66126,-122.13335,Golf Course,Park
CMS001_044_Ra_S25,CMS001_044,Culex,pipiens,female,blood fed,ALCO,2017-08-25T00:00:00Z,2017-08-25,37.66126,-122.13335,Golf Course,Park
CMS001_045_Ra_S2,CMS001_045,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,2017-08-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_046_Ra_S3,CMS001_046,Culex,tarsalis,female,blood fed,ALCO,2017-08-03T00:00:00Z,2017-08-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_047_Ra_S4,CMS001_047,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,2017-08-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_048_Ra_S5,CMS001_048,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,2017-08-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_049_Ra_S6,CMS001_049,Culex,erythrothorax,female,blood fed,ALCO,2017-08-03T00:00:00Z,2017-08-03,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_050_Ra_S23,CMS001_050,Culex,erythrothorax,female,blood fed,ALCO,2017-10-17T00:00:00Z,2017-10-17,37.50608,-121.99857,Marsh,Marsh/Wetland
CMS001_051_Ra_S8,CMS001_051,Culex,tarsalis,female,blood fed,ALCO,2017-10-17T00:00:00Z,2017-10-17,37.50608,-121.99857,Marsh,Marsh/Wetland
CMS001_052_Ra_S7,CMS001_052,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_053_Ra_S8,CMS001_053,Culex,erythrothorax,female,blood fed,ALCO,2017-10-07T00:00:00Z,2017-10-07,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_054_Ra_S11,CMS001_054,Culex,pipiens,female,blood fed,ALCO,2016-02-10T00:00:00Z,2016-02-10,37.63083,-122.14267,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_055_Ra_S9,CMS001_055,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_056_Ra_S10,CMS001_056,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_057_Ra_S11,CMS001_057,Culex,erythrothorax,female,blood fed,ALCO,2017-09-21T00:00:00Z,2017-09-21,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_058_Ra_S9,CMS001_058,Culex,erythrothorax,female,blood fed,ALCO,,N.D.,N.D.,N.D.,N.D.,N.D.
CMS001_059_Ra_S10,CMS001_059,Culex,pipiens,female,blood fed,ALCO,2017-10-24T00:00:00Z,2017-10-24,37.6683,-122.15915, Industrial (waste water treatment plant),Industrial
CMS001_060_Ra_S12,CMS001_060,Culiseta,inornata,female,blood fed,ALCO,2017-10-23T00:00:00Z,2017-10-23,37.55697,-122.07938,Marsh / Wildlife Refuge / Park,Marsh/Wetland
CMS001_water1_S11,CMS001_water1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS001_water2_S24,CMS001_water2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS001_water3_Qiagen_S26,CMS001_water3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS001_water4_Zymo_S27,CMS001_water4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS001_water5_RNA_A_S12,CMS001_water5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_001a_Rb_S116_L004,CMS002_001a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7962659,-116.9594824,Park/cemetary/golf course,Park
CMS002_004a_Rb_S117_L004,CMS002_004a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7991943,-116.9193062,Park/cemetary/golf course,Park
CMS002_007a_Rb_S118_L004,CMS002_007a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7856362,-116.9887078,Park/cemetary/golf course,Park
CMS002_010a_Rb_S119_L004,CMS002_010a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7981529,-116.9544084,Commerical/Industrial/Transportation,Industrial
CMS002_013a_Rb_S120_L004,CMS002_013a,Culex,quinquefasciatus,female,blood fed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7996185,-116.9393203,Residential,Residential
CMS002_016a_Rb_S121_L004,CMS002_016a,Aedes,aegypti,female,unfed,SAND,2017-11-15T00:00:00Z,2017-11-15,32.7152395,-117.1148424,Commerical/Industrial/Transportation,Industrial
CMS002_017a_Rb_S122_L004,CMS002_017a,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,2017-11-28,32.5542907,-117.04828,Residential,Residential
CMS002_017b_Rb_S123_L004,CMS002_017b,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,2017-11-28,32.5542907,-117.04828,Residential,Residential
CMS002_017c_Rb_S124_L004,CMS002_017c,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,2017-11-28,32.5542907,-117.04828,Residential,Residential
CMS002_017d_Rb_S125_L004,CMS002_017d,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,2017-11-28,32.5542907,-117.04828,Residential,Residential
CMS002_017e_Rb_S126_L004,CMS002_017e,Aedes,aegypti,female,unfed,SAND,2017-11-28T00:00:00Z,2017-11-28,32.5542907,-117.04828,Residential,Residential
CMS002_018a_Rb_S128_L004,CMS002_018a,Aedes,aegypti,female,unfed,SAND,2018-11-28T00:00:00Z,2018-11-28,32.6952215,-117.1221922,Commerical/Industrial/Transportation,Industrial
CMS002_018b_Rb_S129_L004,CMS002_018b,Aedes,aegypti,female,unfed,SAND,2018-11-28T00:00:00Z,2018-11-28,32.6952215,-117.1221922,Commerical/Industrial/Transportation,Industrial
CMS002_019a_Rb_S130_L004,CMS002_019a,Aedes,aegypti,female,unfed,SAND,2017-11-29T00:00:00Z,2017-11-29,32.760258,-117.0813933,Residential,Residential
CMS002_020a_Rb_S131_L004,CMS002_020a,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,2017-12-01,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_020b_Rb_S132_L004,CMS002_020b,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,2017-12-01,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_020c_Rb_S133_L004,CMS002_020c,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,2017-12-01,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_020d_Rb_S134_L004,CMS002_020d,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,2017-12-01,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_020e_Rb_S135_L004,CMS002_020e,Culiseta,particeps,female,unfed,SAND,2017-12-01T00:00:00Z,2017-12-01,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_021a_Rb_S136_L004,CMS002_021a,Culiseta,particeps,female,unfed,SAND,2017-12-27T00:00:00Z,2017-12-27,32.9407491,-117.2165239,Undeveloped,Undeveloped
CMS002_022a_Rb_S137_L004,CMS002_022a,Culex,quinquefasciatus,female,unfed,SAND,2017-12-27T00:00:00Z,2017-12-27,32.552783,-117.0559469,Undeveloped,Undeveloped
CMS002_023a_Rb_S138_L004,CMS002_023a,Culex,quinquefasciatus,female,unfed,SAND,2017-12-27T00:00:00Z,2017-12-27,32.5928337,-117.0575668,Commerical/Industrial/Transportation,Industrial
CMS002_025a_Rb_S140_L004,CMS002_025a,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_025b_Rb_S141_L004,CMS002_025b,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_025c_Rb_S142_L004,CMS002_025c,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_025d_Rb_S143_L004,CMS002_025d,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_025e_Rb_S144_L004,CMS002_025e,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_025f_Rb_S145_L004,CMS002_025f,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954615,-117.693828,Residential,Residential
CMS002_026a_Rb_S146_L004,CMS002_026a,Aedes,albopictus,N.D.,unfed,WVAL ,2017-08-29T00:00:00Z,2017-08-29,34.155852,-117.666926,Residential,Residential
CMS002_026b_Rb_S147_L004,CMS002_026b,Aedes,albopictus,N.D.,unfed,WVAL ,2017-08-29T00:00:00Z,2017-08-29,34.155852,-117.666926,Residential,Residential
CMS002_026c_Rb_S148_L004,CMS002_026c,Aedes,albopictus,N.D.,unfed,WVAL ,2017-08-29T00:00:00Z,2017-08-29,34.155852,-117.666926,Residential,Residential
CMS002_026d_Rb_S149_L004,CMS002_026d,Aedes,albopictus,N.D.,unfed,WVAL ,2017-08-29T00:00:00Z,2017-08-29,34.155852,-117.666926,Residential,Residential
CMS002_026e_Rb_S150_L004,CMS002_026e,Aedes,albopictus,N.D.,unfed,WVAL ,2017-08-29T00:00:00Z,2017-08-29,34.155852,-117.666926,Residential,Residential
CMS002_027a_Rb_S152_L004,CMS002_027a,Culex,quinquefasciatus,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,34.150853,-117.642917,Residential,Residential
CMS002_027b_Rb_S153_L004,CMS002_027b,Culex,quinquefasciatus,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,34.150853,-117.642917,Residential,Residential
CMS002_028a_Rb_S154_L004,CMS002_028a,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.935,-117.655833,Marsh/Swamp,Marsh/Wetland
CMS002_028b_Rb_S155_L004,CMS002_028b,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.935,-117.655833,Marsh/Swamp,Marsh/Wetland
CMS002_028c_Rb_S156_L004,CMS002_028c,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.935,-117.655833,Marsh/Swamp,Marsh/Wetland
CMS002_028d_Rb_S157_L004,CMS002_028d,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.935,-117.655833,Marsh/Swamp,Marsh/Wetland
CMS002_028e_Rb_S158_L004,CMS002_028e,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.935,-117.655833,Marsh/Swamp,Marsh/Wetland
CMS002_029a_Rb_S159_L004,CMS002_029a,Culex,tarsalis,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.925833,-117.659722,Residential,Residential
CMS002_029b_Rb_S160_L004,CMS002_029b,Culex,tarsalis,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.925833,-117.659722,Residential,Residential
CMS002_029c_Rb_S161_L004,CMS002_029c,Culex,tarsalis,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.925833,-117.659722,Residential,Residential
CMS002_029d_Rb_S162_L004,CMS002_029d,Culex,tarsalis,N.D.,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.925833,-117.659722,Residential,Residential
CMS002_029e_Rb_S164_L004,CMS002_029e,Culex,tarsalis,female,unfed,WVAL ,2017-11-15T00:00:00Z,2017-11-15,33.925833,-117.659722,Residential,Residential
