sample	nonhost_reads
CMS001_001_Ra_S1	502756
CMS001_002_Ra_S1	309485
CMS001_003_Ra_S2	10673
CMS001_004_Ra_S2	38535
CMS001_005_Ra_S3	10575
CMS001_006_Ra_S5	17193
CMS001_007_Ra_S12	9950
CMS001_008_Ra_S3	17477
CMS001_009_Ra_S13	42076
CMS001_010_Ra_S1	2089
CMS001_011_Ra_S4	81481
CMS001_012_Ra_S4	17917
CMS001_013_Ra_S5	19307
CMS001_015_Ra_S13	18843
CMS001_016_Ra_S6	7030
CMS001_017_Ra_S6	21767
CMS001_018_Ra_S14	25618
CMS001_019_Ra_S14	49282
CMS001_020_Ra_S15	297043
CMS001_021_Ra_S16	90010
CMS001_022_Ra_S6	111650
CMS001_023_Ra_S17	24771
CMS001_024_Ra_S15	30429
CMS001_025_Ra_S7	17443
CMS001_026_Ra_S18	14327
CMS001_027_Ra_S16	22126
CMS001_028_Ra_S17	45230
CMS001_029_Ra_S18	71870
CMS001_030_Ra_S7	59694
CMS001_031_Ra_S19	31424
CMS001_032_Ra_S7	54519
CMS001_033_Ra_S8	85857
CMS001_034_Ra_S19	65132
CMS001_035_Ra_S20	275205
CMS001_036_Ra_S20	59719
CMS001_037_Ra_S21	33683
CMS001_038_Ra_S22	82255
CMS001_039_Ra_S9	58422
CMS001_040_Ra_S21	32016
CMS001_041_Ra_S10	92436
CMS001_042_Ra_S23	59081
CMS001_043_Ra_S24	24660
CMS001_044_Ra_S25	59909
CMS001_045_Ra_S2	88739
CMS001_046_Ra_S3	360136
CMS001_047_Ra_S4	71229
CMS001_048_Ra_S5	17988
CMS001_049_Ra_S6	34999
CMS001_050_Ra_S23	21933
CMS001_051_Ra_S8	89654
CMS001_052_Ra_S7	12493
CMS001_053_Ra_S8	16761
CMS001_054_Ra_S11	35315
CMS001_056_Ra_S10	15323
CMS001_057_Ra_S11	112952
CMS001_058_Ra_S9	18906
CMS001_059_Ra_S10	80688
CMS001_060_Ra_S12	48868
CMS002_001a_Rb_S116_L004	73554
CMS002_010a_Rb_S119_L004	22317
CMS002_013a_Rb_S120_L004	48764
CMS002_017a_Rb_S122_L004	125549
CMS002_017b_Rb_S123_L004	143922
CMS002_017c_Rb_S124_L004	134883
CMS002_017d_Rb_S125_L004	181857
CMS002_017e_Rb_S126_L004	8208
CMS002_018a_Rb_S128_L004	32360
CMS002_018b_Rb_S129_L004	212005
CMS002_019a_Rb_S130_L004	207636
CMS002_020a_Rb_S131_L004	116147
CMS002_020b_Rb_S132_L004	187979
CMS002_020c_Rb_S133_L004	194333
CMS002_020d_Rb_S134_L004	42324
CMS002_020e_Rb_S135_L004	196863
CMS002_021a_Rb_S136_L004	112506
CMS002_022a_Rb_S137_L004	76270
CMS002_023a_Rb_S138_L004	97356
CMS002_026a_Rb_S146_L004	10442
CMS002_026b_Rb_S147_L004	15936
CMS002_026c_Rb_S148_L004	20100
CMS002_026d_Rb_S149_L004	38532
CMS002_026e_Rb_S150_L004	16419
CMS002_027a_Rb_S152_L004	23735
CMS002_027b_Rb_S153_L004	162930
CMS002_028a_Rb_S154_L004	32218
CMS002_028b_Rb_S155_L004	38211
CMS002_028c_Rb_S156_L004	30143
CMS002_028d_Rb_S157_L004	87436
CMS002_028e_Rb_S158_L004	537848
CMS002_029a_Rb_S159_L004	127157
CMS002_029b_Rb_S160_L004	96688
CMS002_029c_Rb_S161_L004	105935
CMS002_029d_Rb_S162_L004	183988
CMS002_029e_Rb_S164_L004	147457
CMS002_031a_Rb_S165_L004	181038
CMS002_032a_Rb_S166_L004	278058
CMS002_033a_Rb_S167_L004	203263
CMS002_034a_Rb_S168_L004	98413
CMS002_035a_Rb_S169_L004	388974
CMS002_036a_Rb_S170_L004	168737
CMS002_037a_Rb_S171_L004	164427
CMS002_038a_Rb_S172_L004	235406
CMS002_039a_Rb_S173_L004	146934
CMS002_040a_Rb_S174_L004	238839
CMS002_041a_Rb_S176_L004	115083
CMS002_042a_Rb_S177_L004	4537
CMS002_044a_Rb_S178_L004	885
CMS002_044b_Rb_S179_L004	316
CMS002_044c_Rb_S180_L004	381
CMS002_044d_Rb_S181_L004	2667
CMS002_044e_Rb_S182_L004	870
CMS002_045a_Rb_S183_L004	33024
CMS002_045b_Rb_S184_L004	42756
CMS002_045c_Rb_S185_L004	100643
CMS002_045d_Rb_S186_L004	180014
CMS002_045e_Rb_S188_L004	220564
CMS002_045f_Rb_S189_L004	20201
CMS002_045g_Rb_S190_L004	96650
CMS002_046a_Rb_S191_L004	75830
CMS002_046b_Rb_S192_L004	82111
CMS002_047a_Rb_S193_L004	48397
CMS002_047b_Rb_S194_L004	25318
CMS002_047c_Rb_S195_L004	27761
CMS002_047d_Rb_S196_L004	69534
CMS002_047e_Rb_S197_L004	74294
CMS002_047f_Rb_S198_L004	54986
CMS002_047g_Rb_S200_L004	89881
CMS002_047h_Rb_S1_L004	24715
CMS002_047i_Rb_S2_L004	28381
CMS002_047j_Rb_S3_L004	60922
CMS002_049a_Rb_S4_L004	70779
CMS002_051a_Rb_S6_L004	131063
CMS002_053a_Rb_S7_L004	506671
CMS002_054a_Rb_S8_L004	80061
CMS002_056a_Rb_S9_L004	285903
CMS002_057a_Rb_S10_L004	44042
