tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
-200012283,Non-genus-specific reads in family Nodaviridae,,2,-100,-200012283,12283,Viruses,0,186751.0,6991.554,100.0,89.6669,3946.92,307.5838623,0.0,69935750.0,27.15533,0.0,100.0,79.0,2.957,100.0,66.8302,34.1899,183.013855,0.0,0.01149,0.0,100.0
2304511,Culex Hubei-like virus,"",1,2304511,-200012283,12283,Viruses,0,186751.0,6991.554,100.0,89.6669,3946.92,307.5838623,0.0,69935750.0,27.15533,0.0,100.0,54.0,2.021,100.0,83.4423,33.1667,262.4591064,0.0,0.00785,0.0,100.0
2304485,Culex mosquito virus 5,"",1,2304485,-200012283,12283,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,9350.0,,,100.0,25.0,0.935,100.0,30.9482,36.4,11.4121351,0.0,0.00364,0.0,100.0
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,2873.0,107.558,12.2241631,89.4902,180.188,68.6112671,0.0,34782188.47427151,0.41776,2.7426937,99.0,95045.0,3558.279,99.0,41.9589,51.3795,16.0946159,0.0,13.82043,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,1849.0,69.222,7.7578002,85.9193,161.687,54.9140892,0.0,34782188.47427151,0.26886,2.7332158,99.0,94775.0,3548.171,99.0,41.8523,51.395,15.9422503,0.0,13.78116,0.0279299,99.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,255.0,9.546,99.0,97.4009,59.6784,19.0376892,0.0,101447.2662343074,0.03708,0.0081413,99.0,245.0,9.172,99.0,83.2166,46.8367,76.3984451,0.0,0.03563,0.0019538,99.0
42428,Culex erythrothorax,"",1,42428,7174,7157,Eukaryota,0,717.0,26.842,100.0,95.9553,275.746,123.5371017,0.0,32812.09859302,0.10426,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,19.0,0.711,100.0,88.1781,125.684,40.2999725,0.0,10125.63799641,0.00276,0.0,100.0,25.0,0.935,100.0,41.7824,37.2,2.7373998,0.0,0.00364,0.0,100.0
325443,Culex minor,"",1,325443,7174,7157,Eukaryota,0,8.0,0.299,100.0,84.0,85.75,27.6048126,0.0,365.50247669,0.00116,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
182211,Culex annulus,"",1,182211,7174,7157,Eukaryota,0,5.0,0.187,100.0,93.22,87.6,34.7209167,0.0,228.59184997,0.00073,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
