tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
-201980416,Non-genus-specific reads in family Peribunyaviridae,,2,-100,-201980416,1980416,Viruses,0,11864.0,155.902,100.0,99.8517,7454.52,307.5697021,0.0,3121060.0,17.33439,0.0,100.0,11887.0,156.204,100.0,99.8016,2429.55,307.1078186,0.0,17.36799,0.0,100.0
1628184,Bunyaviridae environmental sample,"",1,1628184,-201980416,1980416,Viruses,0,11864.0,155.902,100.0,99.8517,7454.52,307.5697021,0.0,3121060.0,17.33439,0.0,100.0,11887.0,156.204,100.0,99.8016,2429.55,307.1078186,0.0,17.36799,0.0,100.0
953,Wolbachia,"",2,-100,953,942,Bacteria,0,20802.0,273.354,99.0,99.8065,754.369,290.2968445,0.0,2758064.8589999997,30.39362,0.0450411,99.0,4594.0,60.368,99.0,79.8611,113.13,112.8132248,0.0,6.71225,0.0317862,99.0
263437,Wolbachia endosymbiont of Culex quinquefasciatus,"",1,263437,953,942,Bacteria,0,20536.0,269.859,99.0,99.8523,759.426,291.199646,0.0,2758064.8589999997,30.00497,0.0028329,100.0,870.0,11.432,100.0,82.4234,152.516,134.2224579,0.0,1.27115,0.0,100.0
955,Wolbachia pipientis,"",1,955,953,942,Bacteria,0,145.0,1.905,90.1229115,99.122,405.159,292.8565979,0.0,195110.3034943425,0.21186,0.0039943,99.0,1383.0,18.173,99.0,77.2838,99.6493,112.8693619,0.0,2.02069,0.0076381,99.0
77038,Wolbachia endosymbiont of Drosophila simulans,"",1,77038,953,942,Bacteria,0,93.0,1.222,44.4963583,92.6448,336.645,144.9028931,0.0,50193.2524344174,0.13588,0.0070634,99.0,348.0,4.572,99.0,84.9853,129.856,118.8387833,0.0,0.50846,0.0019725,99.0
329647,Wolbachia endosymbiont of Culex molestus,"",1,329647,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,49710.672,,,99.0,386.0,5.072,99.0,87.3303,78.5933,73.7795258,0.0,0.56398,0.0031792,99.0
1605993,Wolbachia endosymbiont of Dactylopius coccus,"",1,1605993,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,40451.4,,,100.0,311.0,4.086,100.0,83.2077,94.8135,95.8338013,0.0,0.4544,0.0,100.0
125593,Wolbachia endosymbiont of Trichogramma pretiosum,"",1,125593,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,32254.2,,,100.0,248.0,3.258,100.0,60.1139,60.0363,63.7558327,0.0,0.36235,0.0,100.0
180837,Wolbachia endosymbiont of Nasonia vitripennis,"",1,180837,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,25492.5,,,100.0,196.0,2.575,100.0,85.2892,172.276,165.7146301,0.0,0.28637,0.0,100.0
215173,Wolbachia endosymbiont of Bemisia tabaci,"",1,215173,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,22760.1,,,100.0,175.0,2.299,100.0,86.9181,79.4343,116.0089493,0.0,0.25569,0.0,100.0
116598,Wolbachia endosymbiont of Diaphorina citri,"",1,116598,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,19770.3,,,100.0,152.0,1.997,100.0,77.296,79.1579,101.3282471,0.0,0.22209,0.0,100.0
368602,Wolbachia endosymbiont of Laodelphax striatella,"",1,368602,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,18077.4,,,100.0,139.0,1.826,100.0,73.6871,59.4532,108.9246674,0.0,0.20309,0.0,100.0
41374,Wolbachia sp. group B,"",1,41374,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,8840.7,,,100.0,68.0,0.893,100.0,99.8177,532.779,307.6526489,0.0,0.09935,0.0,100.0
1620420,Wolbachia endosymbiont of Operophtera brumata,"",1,1620420,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,8712.0,,,100.0,67.0,0.88,100.0,72.2088,59.4328,84.7944107,0.0,0.09789,0.0,100.0
118728,Wolbachia endosymbiont of Cylisticus convexus,"",1,118728,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,7276.5,,,100.0,56.0,0.735,100.0,62.0754,52.5357,62.5071144,0.0,0.08182,0.0,100.0
77039,Wolbachia endosymbiont of Armadillidium vulgare,"",1,77039,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,7147.8,,,100.0,55.0,0.722,100.0,55.6551,38.5636,55.5914345,0.0,0.08036,0.0,100.0
190193,Wolbachia endosymbiont of Cadra cautella,"",1,190193,953,942,Bacteria,0,2.0,0.026,4.1114547,100.0,150.0,90.4814835,0.0,6118.8828843978,0.00292,0.0006683,100.0,47.0,0.617,100.0,73.1191,122.851,64.84375,0.0,0.06867,0.0,100.0
169402,Wolbachia endosymbiont of Folsomia candida,"",1,169402,953,942,Bacteria,0,2.0,0.026,1.947352,77.473,182.0,21.5331326,0.0,5202.512484048,0.00292,0.0021743,100.0,40.0,0.525,100.0,98.63,146.0,101.9586105,0.0,0.05844,0.0,100.0
263438,Wolbachia endosymbiont of Culex pipiens molestus,"",1,263438,953,942,Bacteria,0,10.0,0.131,100.0,100.0,255.0,131.0447998,0.0,4801.5,0.01461,0.0,100.0,27.0,0.354,100.0,95.1663,88.6667,121.8690186,0.0,0.03945,0.0,100.0
246273,Wolbachia endosymbiont of Cimex lectularius,"",1,246273,953,942,Bacteria,0,6.0,0.078,1.6419062,84.697,379.0,103.0614777,0.0,913.5787996764,0.00877,0.0075106,100.0,7.0,0.091,100.0,76.4003,73.4286,66.8218231,0.0,0.01023,0.0,100.0
180836,Wolbachia endosymbiont of Protocalliphora sialia,"",1,180836,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,900.9,,,100.0,7.0,0.091,100.0,99.31,145.0,91.4559326,0.0,0.01023,0.0,100.0
363538,Wolbachia endosymbiont of Culex pipiens,"",1,363538,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,257.4,,,100.0,2.0,0.026,100.0,35.897,39.0,0.7447275,0.0,0.00292,0.0,100.0
307502,Wolbachia endosymbiont of Drosophila ananassae,"",1,307502,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,143.09208213300002,,,22.2365318,5.0,0.065,22.2365318,77.0448,43.0,78.7554474,0.0,0.00731,0.0003155,22.2365318
77551,Wolbachia endosymbiont of Onchocerca volvulus,"",1,77551,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,128.7,,,100.0,1.0,0.013,100.0,100.0,49.0,307.6526489,0.0,0.00146,0.0,100.0
169184,Wolbachia endosymbiont of Tetranychus urticae,"",1,169184,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,128.7,,,100.0,1.0,0.013,100.0,100.0,49.0,307.6526489,0.0,0.00146,0.0,100.0
358571,Wolbachia endosymbiont of Caudra cautella,"",1,358571,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,128.7,,,100.0,1.0,0.013,100.0,100.0,49.0,307.6526489,0.0,0.00146,0.0,100.0
367473,Wolbachia endosymbiont of Cotesia sesamiae,"",1,367473,953,942,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,128.7,,,100.0,1.0,0.013,100.0,100.0,49.0,307.6526489,0.0,0.00146,0.0,100.0
163164,Wolbachia endosymbiont of Drosophila melanogaster,"",1,163164,953,942,Bacteria,0,2.0,0.026,11.2975448,92.0,250.0,94.9244537,0.0,29.0798803152,0.00292,0.0002472,11.2975448,0,0,-100,0.0,0.0,0.0,0.0,,,11.2975448
1633785,Wolbachia endosymbiont of Drosophila incompta,"",1,1633785,953,942,Bacteria,0,4.0,0.052,3.4781267,94.4,122.25,62.968956,0.0,17.9053962516,0.00584,0.002114,3.4781267,0,0,-100,0.0,0.0,0.0,0.0,,,3.4781267
