tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_maxzscore
10088,Mus,"",2,-100,10088,10066,Eukaryota,0,70.0,2.743,100.0,99.9253,1102.2,285.9355469,0.0,27430.0,6.95825,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
10090,Mus musculus,house mouse,1,10090,10088,10066,Eukaryota,0,70.0,2.743,100.0,99.9253,1102.2,285.9355469,0.0,27430.0,6.95825,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9605,Homo,"",2,-100,9605,9604,Eukaryota,0,45.0,1.763,100.0,99.7578,163.667,95.1885834,0.0,17630.0,4.47316,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
9606,Homo sapiens,human,1,9606,9605,9604,Eukaryota,0,45.0,1.763,100.0,99.7578,163.667,95.1885834,0.0,17630.0,4.47316,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
4107,Solanum,"",2,-100,4107,4070,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,5558.552892532574,,,12.9487397,230.0,9.014,12.9487397,98.529,408.0,307.6526489,0.0,12.9487397
4081,Solanum lycopersicum,tomato,1,4081,4107,4070,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,5558.552892532574,,,47.6229932,230.0,9.014,47.6229932,98.529,408.0,307.6526489,0.0,47.6229932
59537,Pantholops,"",2,-100,59537,9895,Eukaryota,0,2.0,0.078,100.0,92.0,150.0,74.0226364,0.0,3130.0,0.19881,0.0,100.0,6.0,0.235,100.0,97.901,62.3333,220.9943695,0.0,100.0
59538,Pantholops hodgsonii,chiru,1,59538,59537,9895,Eukaryota,0,2.0,0.078,100.0,92.0,150.0,74.0226364,0.0,3130.0,0.19881,0.0,100.0,6.0,0.235,100.0,97.901,62.3333,220.9943695,0.0,100.0
39173,Ocimum,basils,2,-100,39173,4136,Eukaryota,0,6.0,0.235,100.0,100.0,246.667,132.3093567,0.0,2350.0,0.59642,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
39350,Ocimum basilicum,sweet basil,1,39350,39173,4136,Eukaryota,0,6.0,0.235,100.0,100.0,246.667,132.3093567,0.0,2350.0,0.59642,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
591932,Piliocolobus,"",2,-100,591932,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,95.8,24.0,307.6526489,0.0,100.0
591936,Piliocolobus tephrosceles,Ugandan red Colobus,1,591936,591932,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,95.8,24.0,307.6526489,0.0,100.0
332157,Larkinella,"",2,-100,332157,89373,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,91.8,49.0,307.6526489,0.0,100.0
643671,Larkinella arboricola,"",1,643671,332157,89373,Bacteria,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,91.8,49.0,307.6526489,0.0,100.0
169324,Asterostroma,"",2,-100,169324,68781,Eukaryota,0,1.0,0.039,100.0,95.2,84.0,39.9586067,0.0,390.0,0.0994,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
202709,Asterostroma andinum,"",1,202709,169324,68781,Eukaryota,0,1.0,0.039,100.0,95.2,84.0,39.9586067,0.0,390.0,0.0994,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
12137,Sobemovirus,"",2,-100,12137,2169577,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,78.0,41.0,307.6526489,0.0,100.0
2315808,Yongsan sobemo-like virus 1,"",1,2315808,12137,2169577,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,78.0,41.0,307.6526489,0.0,100.0
9539,Macaca,macaques,2,-100,9539,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,78.3,46.0,307.6526489,0.0,100.0
9544,Macaca mulatta,Rhesus monkey,1,9544,9539,9527,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,390.0,,,100.0,1.0,0.039,100.0,78.3,46.0,307.6526489,0.0,100.0
12316,Ilarvirus,"",2,-100,12316,39740,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,66.58260336,,,8.5362312,2.0,0.078,8.5362312,77.35,48.5,307.6526489,0.0,8.5362312
12317,Tobacco streak virus,"",1,12317,12316,39740,Viruses,0,0,0,-100,0.0,0.0,0.0,0.0,66.58260336,,,100.0,2.0,0.078,100.0,77.35,48.5,307.6526489,0.0,100.0
590,Salmonella,"",2,-100,590,543,Bacteria,0,230.0,9.014,2.329473,100.0,1335.0,307.6526489,0.0,50.94506067391387,22.86282,1.6528351,2.329473,0,0,-100,0.0,0.0,0.0,0.0,2.329473
28901,Salmonella enterica,"",1,28901,590,543,Bacteria,0,230.0,9.014,2.4262014,100.0,1335.0,307.6526489,0.0,50.94506067391387,22.86282,1.592605,2.4262014,0,0,-100,0.0,0.0,0.0,0.0,2.4262014
244986,Thereuonema,"",2,-100,244986,29020,Eukaryota,0,3.0,0.117,4.4867269,100.0,150.0,90.4814835,0.0,34.99646982,0.29821,0.0027617,4.4867269,0,0,-100,0.0,0.0,0.0,0.0,4.4867269
351013,Thereuonema turkestana,"",1,351013,244986,29020,Eukaryota,0,2.0,0.078,100.0,100.0,150.0,90.4814835,0.0,34.99646982,0.19881,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,100.0
353554,Thereuonema tuberculata,"",1,353554,244986,29020,Eukaryota,0,1.0,0.039,1.4232655,100.0,150.0,90.4814835,0.0,0.24904634058298605,0.0994,0.0027617,1.4232655,0,0,-100,0.0,0.0,0.0,0.0,1.4232655
374,Bradyrhizobium,"",2,-100,374,41294,Bacteria,0,28.0,1.097,-0.3039741,92.6986,146.0,70.4964066,0.0,21.3012789,2.7833,2430.9936523,-0.3021458,32.0,1.254,-0.3021458,94.8436,50.6562,256.6644592,0.0,-0.3021458
