tax_id,name,common_name,tax_level,species_taxid,genus_taxid,family_taxid,category_name,is_phage,NT_r,NT_rpm,NT_zscore,NT_percentidentity,NT_alignmentlength,NT_neglogevalue,NT_percentconcordant,aggregatescore,NT_r_pct,NT_rpm_bg,NT_maxzscore,NR_r,NR_rpm,NR_zscore,NR_percentidentity,NR_alignmentlength,NR_neglogevalue,NR_percentconcordant,NR_r_pct,NR_rpm_bg,NR_maxzscore
7174,Culex,"",2,-100,7174,7157,Eukaryota,0,5710.0,62.58,6.9785704,88.2048,245.695,108.3401566,0.0,4743521.890263554,4.54987,2.7426937,99.0,44438.0,487.034,99.0,59.6672,96.6,65.6556931,0.0,35.40933,0.0298837,99.0
7176,Culex quinquefasciatus,southern house mosquito,1,7176,7174,7157,Eukaryota,0,4773.0,52.311,5.784653,86.6056,217.887,82.3403015,0.0,4743521.890263554,3.80325,2.7332158,99.0,44140.0,483.768,99.0,59.6967,96.9015,65.8963394,0.0,35.17188,0.0279299,99.0
7175,Culex pipiens,northern house mosquito,1,7175,7174,7157,Eukaryota,0,49.0,0.537,12.2233961,86.1439,213.143,64.6125107,0.0,28723.533082823276,0.03904,0.0081413,99.0,267.0,2.926,99.0,54.3978,46.7041,24.8387203,0.0,0.21275,0.0019538,99.0
42428,Culex erythrothorax,"",1,42428,7174,7157,Eukaryota,0,876.0,9.6,100.0,97.0366,400.844,253.3031464,0.0,6699.427584,0.69802,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
7177,Culex tarsalis,"",1,7177,7174,7157,Eukaryota,0,5.0,0.054,100.0,88.74,120.0,51.8926125,0.0,3284.8842801600003,0.00398,0.0,100.0,30.0,0.328,100.0,61.9148,98.5667,66.7879486,0.0,0.0239,0.0,100.0
946124,Culex pipiens complex sp. YL-2011,"",1,946124,7174,7157,Eukaryota,0,0,0,-100,0.0,0.0,0.0,0.0,99.0,,,100.0,1.0,0.01,100.0,94.0,50.0,307.6526489,0.0,0.0008,0.0,100.0
7178,Culex tritaeniorhynchus,"",1,7178,7174,7157,Eukaryota,0,3.0,0.032,100.0,85.7667,132.667,52.5788422,0.0,22.33142528,0.00239,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
42433,Culex torrentium,"",1,42433,7174,7157,Eukaryota,0,2.0,0.021,100.0,86.15,134.0,54.1648788,0.0,14.65499784,0.00159,0.0,100.0,0,0,-100,0.0,0.0,0.0,0.0,,,100.0
308723,Culex nigropunctatus,"",1,308723,7174,7157,Eukaryota,0,2.0,0.021,1.5957332,91.1,45.0,13.4685211,0.0,0.2338546659921629,0.00159,0.0013366,1.5957332,0,0,-100,0.0,0.0,0.0,0.0,,,1.5957332
7158,Aedes,"",2,-100,7158,7157,Eukaryota,0,297.0,3.255,19.7234412,84.9348,129.081,47.0741463,0.0,889316.7751520713,0.23666,0.0610951,99.0,14561.0,159.586,99.0,54.3754,121.576,58.7536392,0.0,11.60258,0.0746694,99.0
