sample_name,uploader,upload_date,runtime_seconds,overall_job_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CMS-076_RNA_A_S12,,2018-02-06 17:57:49 -0800,14366.0,COMPLETE,60230548,956812,1.589,78.112,2.05,,,,Mosquito,
CMS-078_RNA_A_S5,,2018-02-06 17:57:49 -0800,6261.0,COMPLETE,41550322,515760,1.241,77.625,1.49,,,,Mosquito,
CMS-079_RNA_A_S6,,2018-02-06 17:57:49 -0800,11465.0,COMPLETE,53378586,649290,1.216,82.476,1.49,,,,Mosquito,
CMS-080_RNA_A_S7,,2018-02-06 17:57:49 -0800,10926.0,COMPLETE,53978484,812388,1.505,84.003,1.28,,,,Mosquito,
CMS-081_RNA_A_S8,,2018-02-06 17:57:49 -0800,13178.0,COMPLETE,68383652,743076,1.087,80.059,1.28,,,,Mosquito,
CMS-082_RNA_A_S9,,2018-02-06 17:57:49 -0800,7514.0,COMPLETE,55151546,552446,1.002,82.407,1.14,,,,Mosquito,
CMS-083_RNA_A_S10,,2018-02-06 17:57:49 -0800,13590.0,COMPLETE,56742820,907258,1.599,85.134,1.2,,RNA,Alameda,Mosquito,"Wuhan Mosquito Virus, Calbertado virus"
CMS-086_RNA_A_S11,Kalani Ratnasiri,2018-02-06 17:54:23 -0800,16084.0,COMPLETE,50066188,1180950,2.359,80.062,1.24,,,,Mosquito,
CMS_001_RNA_A_S1,,2018-03-25 21:38:09 -0700,8691.0,COMPLETE,26717044,942568,3.528,86.63,1.48,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_10/03/17_Coyotes Hills_HubeiMosquitoVirus4-WenzhouTombusLike11-HubeiVirgaLike2_Providencia_Trypanosome_rodent
CMS_002_RNA_A_S1,,2018-04-15 09:23:02 -0700,10891.0,COMPLETE,31503742,408700,1.297,59.479,1.32,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/21/17_Coyotes Hills_
