sample	mosquito_species	collected_by	sci_name	taxid	taxonomic_group	read_prop	nonhost_reads
CMS002_017c	Aedes aegypti	San Diego	Ascogregarina culicis	247478	Apicomplexa	7.403111774649278e-5	162094
CMS002_017c	Aedes aegypti	San Diego	Ascogregarina taiwanensis	158379	Apicomplexa	1.7273927474181647e-4	162094
CMS002_017b	Aedes aegypti	San Diego	Ascogregarina culicis	247478	Apicomplexa	1.101436505083999e-4	172502
CMS002_017b	Aedes aegypti	San Diego	Ascogregarina taiwanensis	158379	Apicomplexa	0.0012173771898296832	172502
CMS002_017b	Aedes aegypti	San Diego	Ascogregarina	158378	Apicomplexa	1.101436505083999e-4	172502
CMS002_017a	Aedes aegypti	San Diego	Ascogregarina culicis	247478	Apicomplexa	5.924482595186687e-5	151912
CMS002_017a	Aedes aegypti	San Diego	Ascogregarina taiwanensis	158379	Apicomplexa	7.570172204960767e-4	151912
CMS002_017a	Aedes aegypti	San Diego	Ascogregarina	158378	Apicomplexa	4.607930907367423e-5	151912
CMS002_045g	Aedes albopictus	West Valley	Amblyospora	33687	Microsporidia	3.04989630352568e-5	98364
CMS002_053a	Culex erythrothorax	Placer	Amblyospora	33687	Microsporidia	5.187663735636656e-5	1233696
CMS001_001	Culex erythrothorax	Alameda	Paratrypanosoma confusum	1470209	Trypanosomatidae	4.798506355839782e-5	687714
CMS001_047	Culex erythrothorax	Alameda	Leishmaniinae	1286322	Trypanosomatidae	6.727922801891507e-5	104044
CMS001_047	Culex erythrothorax	Alameda	Trypanosomatidae	5654	Trypanosomatidae	6.727922801891507e-5	104044
CMS001_049	Culex erythrothorax	Alameda	Leishmaniinae	1286322	Trypanosomatidae	0.025593175153292454	67518
CMS001_049	Culex erythrothorax	Alameda	Trypanosomatidae	5654	Trypanosomatidae	0.023475221422435497	67518
CMS001_037	Culex erythrothorax	Alameda	Eimeria	5800	Apicomplexa	4.444839541292559e-5	112490
CMS001_011	Culex erythrothorax	Alameda	Leishmaniinae	1286322	Trypanosomatidae	1.7675964223848412e-5	169722
CMS001_011	Culex erythrothorax	Alameda	Leptomonas pyrrhocoris	157538	Trypanosomatidae	1.7675964223848412e-5	169722
CMS001_058	Culex erythrothorax	Alameda	Theileria youngi	119759	Apicomplexa	3.435953820780649e-5	116416
CMS001_058	Culex erythrothorax	Alameda	Theileria	5873	Apicomplexa	5.153930731170973e-5	116416
CMS001_018	Culex erythrothorax	Alameda	Leishmaniinae	1286322	Trypanosomatidae	0.013296903460837887	65880
CMS001_018	Culex erythrothorax	Alameda	Trypanosomatidae	5654	Trypanosomatidae	0.11082270795385549	65880
CMS001_035	Culex erythrothorax	Alameda	Leishmaniinae	1286322	Trypanosomatidae	0.09366990395162801	373770
CMS001_035	Culex erythrothorax	Alameda	Trypanosoma culicavium	1052859	Trypanosomatidae	0.004379698745217648	373770
CMS001_035	Culex erythrothorax	Alameda	Trypanosoma with unspecified subgenus	669453	Trypanosomatidae	0.002092195735345266	373770
CMS001_035	Culex erythrothorax	Alameda	Eimeriorina	423054	Apicomplexa	1.0701768467239212e-5	373770
CMS001_035	Culex erythrothorax	Alameda	Leptomonas pyrrhocoris	157538	Trypanosomatidae	1.3377210584049014e-5	373770
CMS001_035	Culex erythrothorax	Alameda	Trypanosoma cruzi	5693	Trypanosomatidae	8.026326350429408e-6	373770
