sample	mosquito_species	collected_by	read_prop	nonhost_reads
CMS002_045d	Aedes albopictus	West Valley	0.0011165798215694335	181534
CMS002_045d	Aedes albopictus	West Valley	0.0025609119290721833	181534
CMS002_045g	Aedes albopictus	West Valley	0.007335975250137097	98364
CMS002_045g	Aedes albopictus	West Valley	0.004697507423924178	98364
CMS002_045c	Aedes albopictus	West Valley	3.3786133773215546e-4	105124
CMS002_045a	Aedes albopictus	West Valley	0.07700686858906472	35756
CMS002_045a	Aedes albopictus	West Valley	0.07071318345487003	35756
CMS002_045b	Aedes albopictus	West Valley	4.907000654266754e-4	45804
CMS002_026d	Aedes albopictus	West Valley	0.05724591008630685	44056
CMS002_026d	Aedes albopictus	West Valley	0.016153548885740047	44056
CMS002_026a	Aedes albopictus	West Valley	0.1614752532008408	11688
CMS002_026a	Aedes albopictus	West Valley	0.03153067074335945	11688
CMS002_026b	Aedes albopictus	West Valley	0.07530384663575994	18398
CMS002_026e	Aedes albopictus	West Valley	5.429864253393666e-4	19820
CMS002_026e	Aedes albopictus	West Valley	0.02666666666666667	19820
CMS002_026e	Aedes albopictus	West Valley	0.18775263951734547	19820
CMS002_026c	Aedes albopictus	West Valley	0.055361943642337944	25302
CMS002_045e	Aedes albopictus	West Valley	0.0015346443668443302	242958
CMS002_057a	Culex pipiens	Placer	0.03933005015545923	53942
CMS002_057a	Culex pipiens	Placer	0.013253750312053194	53942
CMS002_051a	Culex pipiens	Placer	0.04443613783212674	139988
CMS002_051a	Culex pipiens	Placer	0.0014265335235378032	139988
CMS002_054a	Culex pipiens	Placer	0.07457186754437464	85110
CMS002_054a	Culex pipiens	Placer	2.748042020060707e-4	85110
CMS002_050a	Culex pipiens	Placer	0.604628261939931	4052
CMS002_050a	Culex pipiens	Placer	0.3904480551452487	4052
CMS001_029	Culex pipiens	Alameda	0.01282408698076387	89566
CMS001_029	Culex pipiens	Alameda	0.017340395873989407	89566
CMS001_044	Culex pipiens	Alameda	0.09240342843724315	65128
CMS001_044	Culex pipiens	Alameda	0.01734346433184052	65128
CMS001_030	Culex pipiens	Alameda	0.27045066746963775	69840
CMS001_030	Culex pipiens	Alameda	0.0031784268459968553	69840
CMS001_059	Culex pipiens	Alameda	8.671307880980106e-5	99862
CMS001_059	Culex pipiens	Alameda	0.23599583777221722	99862
CMS001_059	Culex pipiens	Alameda	0.12993335480514337	99862
CMS001_004	Culex pipiens	Alameda	0.49590600712224797	46660
CMS001_004	Culex pipiens	Alameda	0.033297808739050194	46660
CMS001_041	Culex pipiens	Alameda	0.5222165778579978	102676
CMS001_041	Culex pipiens	Alameda	1.1889192723814053e-4	102676
CMS001_041	Culex pipiens	Alameda	6.485014212989484e-5	102676
CMS001_041	Culex pipiens	Alameda	0.09282217010192283	102676
CMS001_054	Culex pipiens	Alameda	0.8487506720620275	40758
CMS001_054	Culex pipiens	Alameda	0.0520105266136563	40758
CMS002_027b	Culex pipiens	West Valley	0.06575355939705425	183742
CMS002_027b	Culex pipiens	West Valley	1.844247178301817e-5	183742
CMS002_027b	Culex pipiens	West Valley	5.5327415349054515e-5	183742
CMS002_027b	Culex pipiens	West Valley	0.08492758256079869	183742
CMS002_046b	Culex quinquefasciatus	West Valley	0.09585668194939712	99992
CMS002_046b	Culex quinquefasciatus	West Valley	3.638745360599665e-5	99992
CMS002_046b	Culex quinquefasciatus	West Valley	0.0037236494190136574	99992
CMS002_046a	Culex quinquefasciatus	West Valley	0.15839470875769118	89374
CMS002_046a	Culex quinquefasciatus	West Valley	7.905242493313482e-5	89374
CMS002_046a	Culex quinquefasciatus	West Valley	2.1080646648835954e-4	89374
CMS002_046a	Culex quinquefasciatus	West Valley	0.02345221939682999	89374
CMS002_027a	Culex quinquefasciatus	West Valley	1.682935038707506e-4	33744
CMS002_027a	Culex quinquefasciatus	West Valley	0.20157354426119153	33744
CMS002_027a	Culex quinquefasciatus	West Valley	0.03176539885560417	33744
CMS002_023a	Culex quinquefasciatus	San Diego	0.013065388523395565	103350
CMS002_023a	Culex quinquefasciatus	San Diego	0.0019500579885665021	103350
CMS002_001a	Culex quinquefasciatus	San Diego	0.03955086764205517	82762
CMS002_001a	Culex quinquefasciatus	San Diego	1.3610071452875127e-4	82762
CMS002_001a	Culex quinquefasciatus	San Diego	0.06400816604287171	82762
CMS002_022a	Culex quinquefasciatus	San Diego	0.05123975597622599	91574
CMS002_022a	Culex quinquefasciatus	San Diego	0.0038488728300997564	91574
CMS002_013a	Culex quinquefasciatus	San Diego	0.3383977622602771	68442
CMS002_013a	Culex quinquefasciatus	San Diego	1.2074135190067012e-4	68442
CMS002_013a	Culex quinquefasciatus	San Diego	6.037067595033506e-5	68442
CMS002_013a	Culex quinquefasciatus	San Diego	8.049423460044674e-5	68442
CMS002_013a	Culex quinquefasciatus	San Diego	0.014126738172378398	68442
CMS002_013a	Culex quinquefasciatus	San Diego	0.002676433300464854	68442
CMS002_010a	Culex quinquefasciatus	San Diego	0.22933571110120393	33756
CMS002_010a	Culex quinquefasciatus	San Diego	2.674988854213107e-4	33756
CMS002_010a	Culex quinquefasciatus	San Diego	0.10013374944271064	33756
CMS002_004a	Culex quinquefasciatus	San Diego	0.6025077348965961	13812
CMS002_004a	Culex quinquefasciatus	San Diego	0.0013027194268034523	13812
CMS002_004a	Culex quinquefasciatus	San Diego	0.10356619443087445	13812
